"obj","museum","text","material"
"http://data.silknow.org/object/9cf3019c-3272-3a9e-b11c-ea3dcd3346c2","http://data.silknow.org/graph/vam","Collar, embroidered silk satin for man's robe, China, Qing dynasty, mid 19th century.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/9cf3019c-3272-3a9e-b11c-ea3dcd3346c2","http://data.silknow.org/graph/vam","Collar of embroidered silk satin for man's robe.
Stitches: satin, long and short, couching.
Colours: blue, light and dark green, pink, red, gold, yellow and orange.
Wide sleeveband stiffened and fastening at the back. Embroidered on dark blue satin in gold thread and coloured silks. Border of mauve and dull gold thread brocade. Celestial dragons pursuing flaming jewels amid clouds, other mythological emblems. Backed with red silk damask.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/1e43996b-5c99-331b-8a34-12a8ffc227a1","http://data.silknow.org/graph/vam","The complete object would have been intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/1e43996b-5c99-331b-8a34-12a8ffc227a1","http://data.silknow.org/graph/vam","Pair of ""mashru"" trousers","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/1e43996b-5c99-331b-8a34-12a8ffc227a1","http://data.silknow.org/graph/vam","Pair of ""mashru"" trousers, ikat,Varanasi, c.1867","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/90d440cd-49b6-3a8a-a909-b255217ad744","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/90d440cd-49b6-3a8a-a909-b255217ad744","http://data.silknow.org/graph/vam","Textile, trousers, gold silk brocade, possibly Ahmedabad, ca. 1855-1879","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/90d440cd-49b6-3a8a-a909-b255217ad744","http://data.silknow.org/graph/vam","Trousers, gold silk brocade with diagonal stripes of alternating flower and leaf designs on a red ground; the flowers are in black and white.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/8812f722-4f83-3d63-be33-5373bf3253c1","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/8812f722-4f83-3d63-be33-5373bf3253c1","http://data.silknow.org/graph/vam","Sleeveless tunic of fine yellow silk, woven with stripes of silver thread and alternating with a buta motif. The edges are embellished with applied bands of silver-wrapped thread and fringes of purple silk ribbon decorated with gold-wrapped thread and sequins in a flower design.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/8812f722-4f83-3d63-be33-5373bf3253c1","http://data.silknow.org/graph/vam","Tunic, woven silk and silver thread, applied gold-wrapped thread, Sindh, c.1855; Textiles; Women's Clothes","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/f6d3e47f-1792-39ae-bc49-268370afb436","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/f6d3e47f-1792-39ae-bc49-268370afb436","http://data.silknow.org/graph/vam","Complete shawl, red cotton net, decorated with applied silk ribbon, sequins and gold-wrapped thread in diagonal bands, the corners have large flowering buta in coloured silk, gold-wrapped thread, gold wire and sequins, the borders have gold ribbon and scrolling plants in gold-wrapped thread and sequins. Silver and gold fringes.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/f6d3e47f-1792-39ae-bc49-268370afb436","http://data.silknow.org/graph/vam","Textile, shawl, red net, applied gold silver tinsel, India, ca. 1869","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/f6d3e47f-1792-39ae-bc49-268370afb436","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/f6d3e47f-1792-39ae-bc49-268370afb436","http://data.silknow.org/graph/vam","Complete shawl, red cotton net, decorated with applied silk ribbon, sequins and gold-wrapped thread in diagonal bands, the corners have large flowering buta in coloured silk, gold-wrapped thread, gold wire and sequins, the borders have gold ribbon and scrolling plants in gold-wrapped thread and sequins. Silver and gold fringes.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/f6d3e47f-1792-39ae-bc49-268370afb436","http://data.silknow.org/graph/vam","Textile, shawl, red net, applied gold silver tinsel, India, ca. 1869","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6022186f-3684-3262-926c-ac890b14a3c3","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/6022186f-3684-3262-926c-ac890b14a3c3","http://data.silknow.org/graph/vam","Trousers, pink silk brocaded with stripes of patterned silver-wrapped thread and yellow, black and gold and silver thread flowers. The tie is red silk bound with silver-wrapped thread.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/6022186f-3684-3262-926c-ac890b14a3c3","http://data.silknow.org/graph/vam","Trousers, striped silk, north India, ca. 1855-1879","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/6022186f-3684-3262-926c-ac890b14a3c3","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6022186f-3684-3262-926c-ac890b14a3c3","http://data.silknow.org/graph/vam","Trousers, pink silk brocaded with stripes of patterned silver-wrapped thread and yellow, black and gold and silver thread flowers. The tie is red silk bound with silver-wrapped thread.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6022186f-3684-3262-926c-ac890b14a3c3","http://data.silknow.org/graph/vam","Trousers, striped silk, north India, ca. 1855-1879","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/3be60fbd-32a8-3a94-9f1a-88a28f757fab","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/3be60fbd-32a8-3a94-9f1a-88a28f757fab","http://data.silknow.org/graph/vam","Bodice (choli), worn by Queen of Oudh, silk, gold and silver thread embroidery, Lucknow, ca. 1855","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/3be60fbd-32a8-3a94-9f1a-88a28f757fab","http://data.silknow.org/graph/vam","Woman's bodice, purple silk and red silk patterned cotton net, heavily embellished with ribbons of gold and silver thread, partly pleated and embossed, and gold tinsel and spangles.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/3be60fbd-32a8-3a94-9f1a-88a28f757fab","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/3be60fbd-32a8-3a94-9f1a-88a28f757fab","http://data.silknow.org/graph/vam","Bodice (choli), worn by Queen of Oudh, silk, gold and silver thread embroidery, Lucknow, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/3be60fbd-32a8-3a94-9f1a-88a28f757fab","http://data.silknow.org/graph/vam","Woman's bodice, purple silk and red silk patterned cotton net, heavily embellished with ribbons of gold and silver thread, partly pleated and embossed, and gold tinsel and spangles.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/ba9a5a9e-f559-3349-8859-21f20bea3f33","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/ba9a5a9e-f559-3349-8859-21f20bea3f33","http://data.silknow.org/graph/vam","Tunic, silk in broad multicoloured stripes with silver-gilt details and trimming, Sindh, ca. 1855; Textiles; Clothing; Women's Clothes","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/ba9a5a9e-f559-3349-8859-21f20bea3f33","http://data.silknow.org/graph/vam","Sleeveless tunic, cotton and silk in broad bands of red and green, brocaded with gold thread in stripes, decorated with silver ribbon and bands of scrolling plants on a green silk background in gold-wrapped thread and sequins, and silver fringes.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6f1775f9-52f9-3f27-a73e-b1369c2e9d4b","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/6f1775f9-52f9-3f27-a73e-b1369c2e9d4b","http://data.silknow.org/graph/vam","Green silk shirt, embroidered around the neck, sleeves and elsewhere with gold-wrapped and silver-wrapped thread; narrow band of silver thread at the bottom, neck lined with a small floral print.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/6f1775f9-52f9-3f27-a73e-b1369c2e9d4b","http://data.silknow.org/graph/vam","Textile, embroidered green silk shirt, Kutch, ca. 1855-1879.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/fc4cae24-5055-3cdd-b47d-a046b3cc5e30","http://data.silknow.org/graph/vam","Textile, blue woven silk fragment with gold thread, Punjab, ca. 1855-1879","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/fc4cae24-5055-3cdd-b47d-a046b3cc5e30","http://data.silknow.org/graph/vam","Blue woven silk fabric with gold thread.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/81feed35-3208-34c9-98c5-586f3dcc7a31","http://data.silknow.org/graph/vam","Textile, fragment, gold and silk tissue, Ahmedabad, ca. 1867","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/81feed35-3208-34c9-98c5-586f3dcc7a31","http://data.silknow.org/graph/vam","Fragment of red silk, woven in the warp with gold thread and horizontal stripes of red silk.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/bd996aab-82bb-3dd7-bdf3-0df788e50065","http://data.silknow.org/graph/vam","Part of a scarf, gold tissue (gold thread warp and red silk weft) gold thread warp embroidered with green foil, metal spangles and gold-wrapped thread and flattened gold wire. A deep end border containing beetle-wings.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/bd996aab-82bb-3dd7-bdf3-0df788e50065","http://data.silknow.org/graph/vam","Textile, scarf, gold green tinsel metal, Hyderabad, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/bd996aab-82bb-3dd7-bdf3-0df788e50065","http://data.silknow.org/graph/vam","The complete piece wuold have been intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/31a88fc1-3aab-355a-9ff6-6c58fccc19e8","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/31a88fc1-3aab-355a-9ff6-6c58fccc19e8","http://data.silknow.org/graph/vam","Textile; sari with gold and beetle wings, Ahmedabad, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/31a88fc1-3aab-355a-9ff6-6c58fccc19e8","http://data.silknow.org/graph/vam","Cloth, made of woven gold thread, with a very deep border embellished with embroidery in gold-wrapped thread, gold coloured sequins, metal spangles and pieces of beetle wing, cut in the form of buta with a surrounding pattern in the borders.","http://data.silknow.org/vocabulary/627"
