"obj","museum","text","visual_item"
"http://data.silknow.org/object/540c3b7a-9bf8-30e5-963e-00e78022eb21","http://data.silknow.org/graph/cer","Tejido rectangular con fondo en color y decoración a base de capullos de flor en color verde.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/540c3b7a-9bf8-30e5-963e-00e78022eb21","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/906f4796-5b9f-35bd-b33e-e5be503a13d5","http://data.silknow.org/graph/cer","Cenefa enmarcada en tres de sus lados, y recortada en el otro lado. Sobre fondo de terciopelo verde, tres piñas similares, intercaladas con otros motivos vegetales.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/906f4796-5b9f-35bd-b33e-e5be503a13d5","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/857b5354-be5b-3c7b-9b5b-c48bf0da602c","http://data.silknow.org/graph/cer","Colcha de damasco color rojo con decoración floral. Remate de cortina del mismo tejido y decoración rematada en fleco. Dos tiras de damasco con forro de tafetán y un fragmento.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/857b5354-be5b-3c7b-9b5b-c48bf0da602c","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/9fa70f01-21a8-3721-a8e7-4ae4565ff6ad","http://data.silknow.org/graph/cer","Época Luis XVI   Edad Moderna","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/9fa70f01-21a8-3721-a8e7-4ae4565ff6ad","http://data.silknow.org/graph/cer","Estilo Luis XVI.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/9fa70f01-21a8-3721-a8e7-4ae4565ff6ad","http://data.silknow.org/graph/cer","Asiento de planta trapezoidal, respaldo plano con remate ""de chapeaux"" y motivo de cinta. Patas en forma de estípites acanaladas, con molduras clásicas por arriba y por abajo, y cuatro tacos cúbicos con flores a cada lado. El contorno del respaldo y del asiento están recorridos por sencillas estrías. Tapizado en asiento y respaldo, con fondo rojo, y motivos de acantos y flores sobre fondo beige.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/1294f981-808a-312d-b656-2dbe3769fc35","http://data.silknow.org/graph/cer","Estilo Luis XVI.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/1294f981-808a-312d-b656-2dbe3769fc35","http://data.silknow.org/graph/cer","Época Luis XVI","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/1294f981-808a-312d-b656-2dbe3769fc35","http://data.silknow.org/graph/cer","Asiento de planta trapezoidal, respaldo plano con remate ""de chapeaux"" y motivo de cinta. Patas en forma de estípites acanaladas, con molduras clásicas por arriba y por abajo, y cuatro tacos cúbicos con flores a cada lado. El contorno del respaldo y del asiento están recorridos por sencillas estrías. Tapizado en asiento y respaldo, con fondo rojo, y motivos de acantos y flores sobre fondo beige.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/e74fb7b4-7b78-30bf-824c-6ddc0dffb624","http://data.silknow.org/graph/cer","Época Luis XVI","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/e74fb7b4-7b78-30bf-824c-6ddc0dffb624","http://data.silknow.org/graph/cer","Esta silla es de estilo Luis XVI.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/e74fb7b4-7b78-30bf-824c-6ddc0dffb624","http://data.silknow.org/graph/cer","Asiento de planta trapezoidal, respaldo plano con remate ""de chapeaux"" y motivo de cinta. Patas en forma de estípites acanaladas, con molduras clásicas por arriba y por abajo, y cuatro tacos cúbicos con flores a cada lado. El contorno del respaldo y del asiento están recorridos por sencillas estrías. Tapizado en asiento y respaldo, con fondo rojo, y motivos de acantos y flores sobre fondo beige.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/41f86146-5f0d-3e7c-88d8-9ac457a94190","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/41f86146-5f0d-3e7c-88d8-9ac457a94190","http://data.silknow.org/graph/cer","Sofá de madera tallada y dorada con respaldo y asiento ovalado, cuatro pares de patas en forma de estípites acanalados. Brazos curvos rematados en volutas. Los brazos y soportes van estriados. Tapicería en seda rosa palo.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/41f86146-5f0d-3e7c-88d8-9ac457a94190","http://data.silknow.org/graph/cer","Canapé de estilo Luis XVI.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/de5f6701-dd88-382c-830c-eff688f123c8","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/de5f6701-dd88-382c-830c-eff688f123c8","http://data.silknow.org/graph/cer","Casulla de damasco color blanco con cenefas en terciopelo rojo. Reborde que remata toda la pieza también de terciopelo. Damasco con decoración floral en línea vertical ondulada. Rematado con fleco en seda roja y amarilla.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/10026a94-2699-35b3-9270-5fa13ca677db","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/10026a94-2699-35b3-9270-5fa13ca677db","http://data.silknow.org/graph/cer","Seda brochada verde con pequeños motivos florales distribuidos en líneas verticales con inclinación alterna. En la espalda la cenefa central es de damasco azul con motivos florales. Falta la cenefa delantera. Galón estrecho y sencillo de seda blanca. Forro de percal verde de la época.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/3783e14e-7eb6-3fe6-bd89-ec45d7726dd1","http://data.silknow.org/graph/cer","Hay dos manipulos hechos con el mismo tejido de la casulla, pero rematados con flecos de seda rosa y dos verdes con el nº inv 6344 y 6345.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/3783e14e-7eb6-3fe6-bd89-ec45d7726dd1","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/3783e14e-7eb6-3fe6-bd89-ec45d7726dd1","http://data.silknow.org/graph/cer","Sólo conserva cuatro tallas sobre el forro. Estas son de seda valenciana con motivos florales grandes en rojos, verdes y azules distribuidos en franjas muy acusadas en el envés. Galón dorado de la época. Forro de lienzo.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/75c38c0b-19eb-33ca-b6c3-db880d189c1a","http://data.silknow.org/graph/cer","Abanico de baraja,.  
  
Varillaje: 18 varillas + 2 guardas de nácar madreperla, caladas ,grabadas y  unidas por una cinta de seda en su color de 5 mm de ancha.   
Clavillo:  remachado sobre virola de nácar, con anilla de metal plateado con borla con pasamanería e hilos de seda en su color.  
  
Cara: bandas paralelas y concéntricas con elementos vegetales y flores. Las varillas van de dos en dos para formar la decoración. Por encima de la cinta, un círculo y una flor en el interior de cada una de las varillas que se rematan en forma de ondas.   
Guardas: motivos similares a los del varillaje.  
Revés: se cala la cara.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/75c38c0b-19eb-33ca-b6c3-db880d189c1a","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/5ebc588b-b517-3a36-a77f-9401c02cd75b","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/5ebc588b-b517-3a36-a77f-9401c02cd75b","http://data.silknow.org/graph/cer","Abanico plegable con plumas.  
  
País: simple de plumas blancas de ganso unidas por un hilo, pintadas a la aguada y con oro y rematadas con plumas de pavo real.   
Varillaje:  20 varillas + 2 guardas de hueso calado, calada y con plata corlada.   
Clavillo: remachado sobre virola de nácar madreperla, con anilla anilla lobulada  de  latón de la que pende un doble cordón con pasamanería; borla recubierta de plata dorada, hilos entorchados dorados e hilos de seda de color salmón (12 cm).  
  
Cara: un gran ramillete de flores (rosas y margaritas), en disposición horizontal, ocupa la casi totalidad de las plumas, a ambos lados, y como remate en la parte superior motivos vegetales en oro.  
Revés: carece de decoración.  
   
Fuente:decorada con motivos vegetales calados y plata corlada (alternando 2,1,2).   
Guardas:la parte inferior  tienen forma de balaustre con una hoja de plata corlada en el centro y la superior con motivos vegetales calados, rodeado por una filamento de plata corlada con dos hojas en la cúspide y otra en el centro.   
Revés: sin decoración.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/5ebc588b-b517-3a36-a77f-9401c02cd75b","http://data.silknow.org/graph/cer","Aunque la parte superior de este abanico es parecida a los abanicos orientales (cuya bibliografía se adjunta) el varillaje es europeo, presentando similitudes con los varillajes isabelinos. Según Maryse Volet está realizado en Europa en torno a 1850.  
  
Bibliografía comparada:  
- Chine-Chinoiseries au Chateau de Maison. Catalogue de l´exposition, 27 novembre 2005-15 janvier 2006. París, Cercle de l´eventail, pp. .83 a 87,  nº 55,56,57 y 58.  
- RODRIGO ZARZOSA, Carmen: Colección de abanicos del Museo Nacional de Cerámica. Valencia, Ministerio de Educación y Cultura, 2000, p.160, nº 100.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/0d698a24-5d93-38b3-b860-20543693320b","http://data.silknow.org/graph/cer","Abanico de luto con decoración floral  de estilo modernista.  
Abanico parecido a los nº: 4994, 4997 y 5000  
  
Bibliografía comparada:  
-El abanico español: La colección del Marqués de Colomina, cat.exp. Valencia, Ministerio de Cultura,  2008, p. 96, nº 33.  
-FÄCHER.  Kunst und Mode aus fünf Jahrhunderten. München,  Hirmer Verlag. [Exposición celebrada en Alemania del 26 de junio al 4 de octubre de 1987, organizada por Herausgegeben vom Bayerischen Nationalmuseum] , 1987, p. 209, nº 94.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/0d698a24-5d93-38b3-b860-20543693320b","http://data.silknow.org/graph/cer","Abanico plegable. País doble. Varillaje 14+2 de nácar negro. Clavillo rematado en strass y engastado en caja de metal con falsas garras.","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/0d698a24-5d93-38b3-b860-20543693320b","http://data.silknow.org/graph/cer","Edad Contemporánea [Modernismo]","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/0cd0e76c-ff07-3094-ac62-8da989e8caaf","http://data.silknow.org/graph/cer","Época  Alfonsina   Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"http://data.silknow.org/object/0cd0e76c-ff07-3094-ac62-8da989e8caaf","http://data.silknow.org/graph/cer","Silla de brazos de tamaño reducido con acabado policromado de color azul-verdoso claro, con elementos decorativos pintados y dorados. El tapizado del respaldo es un fragmento de tejido de seda de color azul del siglo XVIII reutilizado.  
Estructura de bastidor de madera  con uniones a ranura y lengüeta con clavijas. El montante trasero inclinado ligeramente hacia atrás a la altura de la pata y del respaldo; alternancia de elementos prismáticos (pies y partes de unión) con elementos torneados en forma de balaustre, y remate torneado. Las patas frontales en cabriolé con pies ""club foot"". Chambrana en forma de ""H"" con travesaños torneados en forma de balaustre con las partes de unión prismáticas. Cintura de travesaños corridos de madera de conífera, que forman el bastidor del asiento de chasis, provisto de taquetes en los ángulos. Al frente, faldón con su canto inferior recortado y moldado, formando disposición simétrica de ""C´"" alrededor de una forma de mandorla central. El respaldo formado por dos travesaños entre los montantes, unidos con dos más montantes al interior, que forman el marco para el tapizado. Los travesaños están recortados en sus lados exteriores, con las esquinas redondeadas y el centro apuntado hacia fuera; el superior presenta remate de talla calada en forma de dos ""S"" tumbadas con ""C"" superpuestas, alrededor de un fragmento de palmeta central. Brazos cortos curvos hacia fuera terminados en volutas. El asiento tapizado con raso  de algodón de color azul-verdoso, que se utiliza también en el anverso del respaldo, cuyo frente está tapizado con un fragmento de tejido de seda de finales del siglo XVIII reutilizado. El claveteado cubierto por una cenefa de pasamanería con ovas encadenadas, de color azul claro, moderno. La silla está acabada con policromía de color azul-verdoso claro, que presenta motivos pintados a pincel en colores azul marino, azul claro, rosa, rojo, y verde. Elementos aislados con dorado a la purpurina, como los discos y elementos en forma de bola entre los torneados de balaustre, el borde inferior del faldón, la molduración del recuadro central del respaldo, y la palmeta del copete del respaldo.  
En cuanto a la decoración, entre los elementos aislados pintados, se encuentran sendas aves exóticas en los elementos prismáticos superiores de los montantes del respaldo, ramilletes con aves exóticos en la parte superior de las patas, y ramilletes de flores en los elementos prismáticos inferiores del respaldo, en el apoyo de los brazos, en los elementos torneados de balaustre, en el faldón frontal y el travesaño central de la chambrana.","http://data.silknow.org/vocabulary/743"
