text,label
"This object is from the collection of Natalia de Shabelsky (1841-1905), a Russian noblewoman compelled to preserve what she perceived as the vanishing folk art traditions of her native country. Traveling extensively throughout Great Russia, she collected many fine examples of textile art of the wealthy peasant class. From the 1870s until moving to France in 1902, Shabelsky amassed a large collection of intricately embroidered hand-woven household textiles and opulent festival garments with rich decoration and elaborate motifs. The Brooklyn Museum holdings include many fine examples including the majority of the garments. Portions of Shabelsky's collection are also housed at the Museum of Fine Arts, Boston, the Cleveland Art Museum, and the Russian Museum of Ethnography in St. Petersburg.",'animal_fibre'
"Part of a collection that was purchased from Duveen Brothers, pre-eminent art dealers of the early 20th century, this cope belongs to a set that includes two chasubles (2009.300.2949 and 2009.300.2952a–c) and two dalmatics (2009.300.3411a, b and 2009.300.3412a, b).",'animal_fibre'
"A martial commander, richly clad in armor, stands amidst a bustling military encampment, perhaps preparing for departure, with shields, lances, chests and other rich objects piled in front of him. Despite the seeming cohesion of this composition, the design was apparently assembled from a group of existing figure patterns, recognizable from other successful narrative tapestry series designed by artists in the circle of Bernard van Orley and by Pieter Coecke van Aelst. In this instance, the narrative might be that of Iphigenia, the ill-fated daughter of Agamemnon and Clytemnestra, who was sacrificed by her father to appease the goddess Artemis and petition her to enable sailing weather for the Greek fleet waiting to embark from Aulis and invade Troy. It is possible that this tapestry was part of a different edition of the same Story of Iphigenia series, also woven in the workshop of admired, Brussels-based weaver Willem de Kempeneer, inventoried in the collection of François 1er, King of France, in the 1550s (his edition included precious metal-wrapped threads). The tapestry was previously identified in the literature as a Scene from the Old Testament on the grounds of its notable similarity to the Story of David and Bathsheba in the Musée National de la Renaissance, Ecouen.",'animal_fibre'
The medallion on the front shows Saint Joseph with the Christ Child. The Annunciation is depicted on the back.,'animal_fibre'
"Based in part on Petrarch’s poem I Trionfi (The Triumphs), this tapestry belonged to a set of six representing the consecutive triumphs of Love, of Chastity over Love, of Death over Chastity, of Fame over Death, of Time over Fame, and of Religion over Time. Here Fame reads at a lectern, surrounded by writers whose works immortalized the deeds of the ancients. Triumphant over Death, she tramples the Fates and holds an orb crowned with a cross, locating the subject in a distinctly Christian context. This tapestry, or one identical to it, was purchased by Isabella, Queen of Castile and Aragon in 1504. It remains extraordinary for its condition, color and harmonious composition.",'animal_fibre'
"An example of the kind of work [Catherine de Medici] appreciated is the Museum's panel of yellow satin embroidered with silk threads. One of a set of three (the others are in the Musée Historique des Tissus, Lyon), it hung as a valence around the top of a four-poster bed. Various print sources were culled for the airy design of grotesques, while its five vignettes derived from Ovid's Metamorphoses- based on the myths of Europa, Actaeon, Semele, Pyramus, and Salmacis- are adapted from woodcut illustrations published by Bernard Salomon in Lyon in 1557. Its brilliant colors, exquisite design, and sumptuous material would have suited the queen's taste perfectly.",'animal_fibre'
"In 1716, Tzar Peter the Great founded a tapestry-weaving workshop in his new capital city, Saint Petersburg. Although many of the tapestries made in the workshop took Old Master paintings by the likes of Rembrandt and van Dyck as their models, some were more unusual. Exceptional is this portrait of the scandalous mistress of Tzar Peter III. Only aged twenty-three at the time of weaving, the soft blush of her cheeks, and sumptuous materials of her gown have been admirably captured by the Gobelins-trained weaver.",'animal_fibre'
"Worn by a bishop over his right thigh, this vestment depicts the Holy Trinity in the guise of the three angels who visit the patriarch Abraham in Genesis 18. The Slavonic inscription in the border quotes a hymn of thanksgiving in praise of the Trinity, sung at the conclusion of Communion in the Orthodox rite.",'animal_fibre'
"This object is from the collection of Natalia de Shabelsky (1841-1905), a Russian noblewoman compelled to preserve what she perceived as the vanishing folk art traditions of her native country. Traveling extensively throughout Great Russia, she collected many fine examples of textile art of the wealthy peasant class. From the 1870s until moving to France in 1902, Shabelsky amassed a large collection of intricately embroidered hand-woven household textiles and opulent festival garments with rich decoration and elaborate motifs. The Brooklyn Museum holdings include many fine examples including the majority of the garments. Portions of Shabelsky's collection are also housed at the Museum of Fine Arts, Boston, the Cleveland Art Museum, and the Russian Museum of Ethnography in St. Petersburg.Russian bed curtains and towels were not only used for decorative purposes, but also provided an important role in ceremony. Bed curtains often adorned sleighs for weddings or carnival processions. Towels were draped over mirrors, trees, and temples, hung on walls, or used as offerings to the church in addition to their traditional uses.",'animal_fibre'
"This tapestry panel is part of a set of twelve armchairs and two settees ordered in Paris in 1753 by Baron Johann Ernst Bernstorff, Danish ambassador to the court of Versailles between 1744 and 1751. After returning to Denmark, Bernstorff commissioned this seat furniture for the tapestry room of his new residence in Copenhagen that was hung with four wall tapestries of the Amours des Dieux series woven at the Beauvais Manufactory. The tapestry covers are woven with animal and bird subjects after designs by the painter Jean-Baptiste Oudry (1686–1755). For a fuller description of the entire set, see, e.g., MMA 35.145.1.",'animal_fibre'
"This wickedly comic tapestry belongs to a gloriously unconventional series that tells the Story of Don Quixote within a system of so-called ‘grotesque’ ornament. Exemplifying the finest of London’s tapestry weaving, made at the apex of the city’s foray into this industry in the third quarter of the seventeenth century, this piece is a truly original combination of narrative and pattern-making – elegant, imaginative, witty, with touches of burlesque. That it retains for the most part its spectacularly bright and colorful palette makes it still more desirable.Only three other surviving sets of this series are known (none of which are in public collections). Recent research has revealed that the series from which this comes is the only one that can be identified in contemporary archival documents. This was a royal purchase, bought by Charles II’s consort, Queen Catherine of Braganza, as a gift for the Portuguese nobleman, João de Mascarenhas, first Marquis of Fronteira, whose arms have now been identified on the tapestry. In acknowledgement of his loyalty during the Portuguese Restoration War against Spain, Mascarenhas had been granted the title of Marquis of Fronteira by Catherine of Braganza’s brothers, King Alfonso VI of Portugal and the Regent, Pedro, seven years earlier. Catherine’s gift to the Marquis was likely motivated by her appreciation of the part he had played in establishing the ultimate security of the House of Braganza on the Portuguese throne. This might well be the only intact piece to survive from its first ‘edition’.In terms of both provenance and its remarkable condition, this is, therefore, by far the most important tapestry known from the Story of Don Quixote in Grotesques series and it is unique amongst London-woven tapestries: for both the circumstances of its production and its subsequent journey to southern Europe.",'animal_fibre'
"The story of Jacob as depicted in this set of six tapestries (1983.73.1–.6) begins with the scene of Esau selling his birthright to Jacob (Gen. 25:29–34). Esau, the hunter, sits with his bow and quiver at his feet. He clasps hands with Jacob, his brother, who is clad in the starred robe that will identify him throughout the story. By this handshake Esau and Jacob seal their agreement, and the former accepts a bowl of food in exchange for his birthright as firstborn. The secondary scenes represent different moments in time and serve to advance the story. In the center distance Esau is shown hunting with two dogs. To the right, Rebecca, mother of Esau and Jacob, is seen cooking outside the tent, probably preparing food for Jacob to present o his father, Isaac (Gen. 27). The narrative continues to unfold in the other tapestries, which depict Rachel giving her servant Bilhah to Jacob (Gen. 30:1–4), Rachel and Bilhah with her son Dan, and Jacob making a covenant with his father-in-law",'animal_fibre'
"Whitework samplers typically consist of a variety of stitches and lace-making techniques, all stitched in white thread. Based on the small number of documented seventeenth-century embroiderers who made multiple samplers, it is thought that samplers containing whitework, cutwork, drawnwork, and lace designs were stitched only after multi-colored band samplers were finished, as whitework techniques are more difficult. While many surviving English samplers include lace, cutwork, and drawnwork, few examples of seventeenth-century lace have been attributed to English manufacture.This sampler is worked in whitework and reticella, which requires a stitcher to remove warp and weft threads from a piece of fabric before stabilizing the fabric with buttonhole stitches and creating designs based on the grid of the linen. The top of the sampler, worked in satin, eye, and line stitches, features the initials ""MD"" (presumably the initials of the maker) and an alphabet, along with geometric and stylized floral patterns of varying length. The remainder of the sampler consists of cutwork filled with reticella lace in geometric patterns.",'animal_fibre'
"Commissioned by Louis XVI, this ensemble belongs to a set of four wall hangings (1978.404.1–.4) and fifty-six pieces of furniture upholstery (1978.404.5a–c–.18a–c) depicting the four continents: America, Europe, Asia, and Africa.",'animal_fibre'
"While there is a long tradition of exceptional professional embroidery in England, domestic needlework attained a high point in the seventeenth century, when it was a requisite skill of accomplished young women. In addition to clothing and accessories, mirror frames, writing boxes, table covers, and pictures were decorated with embroidery. Prints served as sources for figures, flowers, and animals, which were drawn onto the fabric and given to the embroideresses. Frequently depicted themes include Old Testament stories, political subjects, allegories, and scenes of daily life. Musical Garden Party presents activities at a country house. In a formal garden, ladies perform for an appreciative male audience. By using fine-gauge canvas and silk threads, the embroideress was able to capture many fashion details such as feathered hats, lace trimming, and the floral pattern of a gown. Facial features, however, are left unembroidered. The hovering putto with bow and arrow hints at impending romance.",'animal_fibre'
"Panels such as this—with its extraordinary patterns in long repeats—were called ""bizarre"" by the Danish scholar Slomann, who believed they were made in India. Most scholars consider them an exotic phase in the history of European silk weaving.",'animal_fibre'
"Images of gardens were popular in the tapestry medium from the medieval era, where the so-called mille-fleurs (thousand flowers) (see also 2013.506) provided a decorative, and sometimes symbolic, setting for scenes of romance and play. Park and garden tapestries continued to enjoy popularity throughout the sixteenth and seventeenth centuries, particularly for the decoration of more intimate chambers, where they provided a pleasant contrast with the grander subject matter of tapestries used in more formal settings. The theme enjoyed new popularity with the advent of the Rococo style during the eighteenth century, and a number of highly decorative landscape and garden series were produced in French and Netherlandish workshops during the second third of the eighteenth century. Among the most notable was the series of romantic pastorals that Boucher designed for the Beauvais workshops between 1734 and 1736 (64.165.1–.8). Known as the Fetes Italiennes, and loosely inspired by the idyllic park scenes of Antoine Watteau, this series depicted handsome gentlefolk and peasants in idealized exterior settings. In this case, a pretty young woman, a child, and a gardener rest in the shade of an overgrown terrace, beneath statues of Apollo and Hercules.",'animal_fibre'
"Commissioned by Louis XVI, this ensemble belongs to a set of four wall hangings (1978.404.1–.4) and fifty-six pieces of furniture upholstery (1978.404.5a–c–.18a–c) depicting the four continents: America, Europe, Asia, and Africa.",'animal_fibre'
"The front and back covers of this bible are identical, both depicting Adam and Eve in the Garden of Eden, standing by the Tree of Knowledge. Below the tree is the fountain from which sprang four rivers, the Pison, the Hiddekel (or Tigris), the Gihon and the Euphrates.",'animal_fibre'
"Band samplers are composed of horizontal rows (""bands"") of embroidered patterns stitched along the linen foundation fabric. Many of the patterns stitched onto band samplers can be traced to sixteenth-century pattern books, and often include depictions of fruit, flowers, and geometric patterns. The top portion of the sampler consists of whitework, while the rest utilizes colored silk threads. The letters HB and the year 1676 are stitched onto the linen, most likely the initials of the maker and the year in which she completed her work.",'animal_fibre'
"This tapestry panel is part of a set of twelve armchairs and two settees ordered in Paris in 1753 by Baron Johann Ernst Bernstorff, Danish ambassador to the court of Versailles between 1744 and 1751. After returning to Denmark, Bernstorff commissioned this seat furniture for the tapestry room of his new residence in Copenhagen that was hung with four wall tapestries of the Amours des Dieux series woven at the Beauvais Manufactory. The tapestry covers are woven with animal and bird subjects after designs by the painter Jean-Baptiste Oudry (1686–1755). For a fuller description of the entire set, see, e.g., MMA 35.145.1.",'animal_fibre'
"Silkworms produce irregular and less smooth fibroins at the beginning and the end of fabricating their cocoons. Some weavers discard these silk fibers to control the overall yarn quality. As this textile's warps and wefts are not uniform, it is possible that part of the textile was woven using the irregular fibers. However, the final product does not reveal the silk yarn's imperfect quality to the naked eye.",'animal_fibre'
