text,label
"This work is an example of a Marken Island sampler. Samplers from this area are characterized by bands of colorful patterns. Girls stitched these bands to practice patterns for ""vernaaide linten,"" ribbons that were attached to a cap and which were an important part of the costume tradition on Marken Island. These ribbons consisted of black embroidery on white linen. The women of Marken are said to have kept their samplers in or near their kitchens for handy reference, so much of the needlework appears darkened from residue from cooking fires. Samplers from this area, including this one, often include striped horses. Spot motifs, bands of geometric patterns, and bands of cutwork and whitework are also stitched. The letters L, S, P, I, M, and N, stitched individually, in pairs, and in groups in a seemingly random fashion on the bottom of the linen are perhaps the initials of the maker and her family members.",embroidery
"The front and back covers of this bible are identical, both depicting Adam and Eve in the Garden of Eden, standing by the Tree of Knowledge. Below the tree is the fountain from which sprang four rivers, the Pison, the Hiddekel (or Tigris), the Gihon and the Euphrates.",embroidery
"While there is a long tradition of exceptional professional embroidery in England, domestic needlework attained a high point in the seventeenth century, when it was a requisite skill of accomplished young women. In addition to clothing and accessories, mirror frames, writing boxes, table covers, and pictures were decorated with embroidery. Prints served as sources for figures, flowers, and animals, which were drawn onto the fabric and given to the embroideresses. Frequently depicted themes include Old Testament stories, political subjects, allegories, and scenes of daily life. Musical Garden Party presents activities at a country house. In a formal garden, ladies perform for an appreciative male audience. By using fine-gauge canvas and silk threads, the embroideress was able to capture many fashion details such as feathered hats, lace trimming, and the floral pattern of a gown. Facial features, however, are left unembroidered. The hovering putto with bow and arrow hints at impending romance.",embroidery
"This embroidered cover probably served to decorate a small table, cabinet or other piece of furniture. The repeating border design of deep scallops is also seen on embroidered clothing and patterns for white linen lace, as well as furnishing textiles like this cover. The embroidery is executed in two colors of metal-wrapped thread: silver and gold (which was made of gilded silver), and the motifs include flowers common to English gardens of the period: irises, lilies, pansies and pomegranate fruits flanked by peacocks, with a caterpillar appearing on every third repeat of the design.",embroidery
"This roundel, together with three others in the Lehman Collection (1975.1.1906, 1975.1.1907, and 1975.1.1909), and two in The Cloisters Collection (47.101.63 and 47.101.64), form part of the same series of early fifteenth-century Franco-Flemish embroideries depicting scenes from the life of Saint Martin. Originally part of a much larger ensemble (thirty-six roundels and panels are now dispersed among public and private collections), the embroideries may have decorated a liturgical vestment, an altar frontal, or possibly a combination thereof, constituting a set of vestments. Having left the Roman army, Martin devoted himself to religious life and became a disciple of Saint Hilary, Bishop of Poitiers in France. Saint Martin is portrayed kneeling before the Bishop, who is ordaining him as acolyte. This series of embroideries, if not originally intended for a liturgical garment, may have embellished an altar frontal, similar to the blue covering that appears here on the altar behind the kneeling figure of Martin. The upper portion of the altar, adorned by a Crucifixion scene, may have been conceived as a painted or embroidered altar covering.",embroidery
"Under a microscope, warps, wefts, and the pile of this velvet exhibit a smoothness and shine typical of cultivated silk. They were all well de-gummed, removing the sericin (gelatinous protein), which allowed dyes to penetrate the fibers, especially so in the case of the cleanest, most separated pile.",velvet
"During the early fifteenth century, European velvet design was largely characterized by the use of voided patterns formed where the pile was absent.  In the second half of the century, technical innovations led to the production of increasingly complex velvets in which the richness of design and texture were achieved through the use of different heights of cut pile and of supplementary metal threads.  In this example, the broad meandering vine and the stylized foliage are woven in metal-wrapped thread with some details in raised loops to give even greater tactile effect.",velvet
"An example of the kind of work [Catherine de Medici] appreciated is the Museum's panel of yellow satin embroidered with silk threads. One of a set of three (the others are in the Musée Historique des Tissus, Lyon), it hung as a valence around the top of a four-poster bed. Various print sources were culled for the airy design of grotesques, while its five vignettes derived from Ovid's Metamorphoses- based on the myths of Europa, Actaeon, Semele, Pyramus, and Salmacis- are adapted from woodcut illustrations published by Bernard Salomon in Lyon in 1557. Its brilliant colors, exquisite design, and sumptuous material would have suited the queen's taste perfectly.",embroidery
"Band samplers comprise neatly worked rows of patterns suitable for repeating motifs or figural motifs on the long narrow strip of linen canvas. This is the most common type of extant seventeenth-century sampler, and its standard format was established by about 1630. The foundation was generally cut from one complete width of plain-weave linen, so that the selvages are present at what becomes the top and bottom of the finished work, and the sides are hemmed. Polychrome band samplers are typical, although some band samplers combined rows of whitework, cutwork, and needle lace with the polychrome patterns (see MMA, 57.122.368). A band sampler such as this would have most likely been a task completed by a schoolgirl under the supervision of an embroidery instructor of some kind. In fact, a band sampler was usually the first piece worked by a budding embroiderer beginning at about age seven or eight. The complete embroidered works by Martha Edlin, the only extant group of a young girl’s educational work, now housed in the Victoria and Albert Museum, begins with a band sampler as her earliest accomplishment.This example, signed by Anna Bucket, introduces the band sampler into the realm of the decorative by adding an image of a courting couple at the top of the sampler. With its precise date and the name of the maker placed prominently, above the cupid who hovers between the couple, the maker may have been referring explicitly to her actual or hoped-for marriage. The couple is accompanied by a dog, symbol of fidelity in marriage, and surrounded by the heraldic unicorn and lion. The image is a miniature version of the numerous pictures of courting couples in which the man and woman stand on variegated green and yellow grass; in addition to the animals, the scene is embellished with fruiting trees, flowers, and insects completely out of scale to their human companions. This type of sampler may have been displayed in the home, as became common practice in the eighteenth and nineteenth centuries. Contemporary evidence of this practice can be found in the criminal proceedings of the Old Bailey: in December of 1750 a man was convicted for stealing, among other things, ""one needle-work sampler, with a frame and glass."" [Emily Zilber, adapted from English Embroidery from The Metropolitan Museum of Art, 1580-1700: 'Twixt Art and Nature / Andrew Morrall and Melinda Watt ; New Haven ; London : Published for The Bard Graduate Center for Studies in the Decorative Arts, Design, and Culture, New York, The Metropolitan Museum of Art, New York [by] Yale University Press, 2008.]",embroidery
This panel was probably part of an orphrey.,embroidery
