text,label
"Prenda de busto realizada en tejido Gros de Tours en seda de color azul cobalto con tramas lanzadas de lamé de plata. Su forma es semicircular con pequeña escotadura en la parte posterior del cuello y con los picos delanteros levemente prolongados a modo de pequeñas caídas de vértices redondeados. La decoración se forma mediante la aplicación de cintas de recorrido ondulante, bordeadas por puntillas de encaje torchón con motivos de grandes hojas. Para las cintas que discurren en torno al cuello y al borde inferior se ha utilizado el mismo tejido azul de lamé de plata mientras que para la que bordea perimetralmente la prenda, se ha utilizado tejido de raso de color verde claro, perfilado por la parte superior con estrecho galón de tafetán de seda amarillo ligeramente desflecado. Sobre ellas y a intervalos regulares pequeños madroños realizados con sedas polícromas. Parejas de tres lazos de raso de seda salmón ribeteados con puntilla se disponen a cada lado de la abertura del delantero y otro en el centro de la parte posterior del cuello.  
El interior de la prenda está forrado con tejido de tafetán de seda de color rosa.",'animal_fibre'
"Estola realizada con cinco piezas de tejido compuesto con base de damasco de seda de color beige y decoración de tramas lanzadas en hilo de seda beige, rosa y amarillo, con las que se forma la ornamentación de carácter vegetal a base grandes hojas, flores y ramas que cubre la superficie. En el centro de la banda y de cada una de las puntas aparecen aplicadas cruces griegas realizadas con galón dorado de pasamanería, de motivo geométrico realizado con seda amarilla, hilo de plata sobredorada tipo muestra y lámina de plata sobredorada. Remata los extremos inferiores, galón con corta flecadura listada de seda beige y granate. Forro compuesto de seis piezas de tafetán de lino de color beige ligeramente encerado sobre el que se disponen cruces de pasamanería en idéntica ubicación que las de la cara anterior. A lo largo de la banda y a ambos lados de la cruz central aparece manuscrita la siguiente inscripciÓN.: a la izquierda ´LONGITUDO SSmi. SEPULCHRI´, a la derecha ´Dni. Nri. JESU CHRISTI. 1751.´",'animal_fibre'
"Prenda femenina de busto, realizada con dos clases de tejido de tafetán de lino, de cuerpo corto con tablas y costura transversal en el pecho, escote redondo levemente de barco con apertura parcial en delantero y espalda, cuadradillo en la axila y manga larga y amplia con frunces en los hombros y en los puños.   
Guarnición bordada en dos órdenes entorno al  cuello, con una primera greca en la que se yuxtaponen una sucesión de flores de seis pétalos con hoja inclinada y zarcillos, realizadas con la técnica al pasado plano con hilo de seda de color verde y  punto de cordón y espiga. Bajo la anterior y sobre las tablas que dan amplitud a la prenda, otra más estrecha en las que se representan motivos en forma de corazón con eje central marcado, roleos y pequeñas prolongaciones. En el contorno del cuello y de las aberturas, puntilla de encaje de bolillos de tipo Torchón con la  cabeza adornada con corazones y abanicos. En los hombros junto a la sisa, puede verse una banda bordada de mayor tamaño que las anteriores, en la que aparecen motivos florales de bordes lobulados con roleos y zarcillos dispuestos sobre una estrecha greca de línea sinuosa adornada con zarcillos y corazones en sus extremos,  todo ello en seda verde y bordado al pasado.  El frunce de la parte superior de la manga está realizado combinando frunces en los extremos y tablas en la zona central, decorándose con el mismo motivo de los hombros, flores de ocho pétalos y estrecha greca en punto de armas.  Los puños están fruncidos y decorados con sucesión de pequeñas grecas realizadas con distintos puntos de adorno.  
Las costuras de unión de las piezas que constituyen la prenda se adornan con punto de escapulario bucleado",'vegetal_fibre'
Casaca blanca con forro del mismo color. Faldones abiertos a la espalda. Doble botonadura con catorce botones dorados con la Cruz de Santiago. El cuello con tapilla y tres enganches. Lleva unas presillas delanteras donde debiera ir la insignia de la Orden. Las mangas con tres galones dorados con tres botones. Seis galones dorados en el cuello con seis botones. Charreteras con galones en los hombros.,'animal_fibre'
"Prenda femenina de busto, realizada con dos tipos de tejidos de tafetán de lino, de cuerpo corto con costura transversal en el pecho, escote redondo levemente de barco con apertura parcial en delantero y espalda, cuadradillo en la axila y manga amplia con frunces en los hombros y en los puños.   
Guarnición bordada a reserva realizada con hilo de seda de color verde, que se sitúa entorno el escote y los hombros en forma de greca de motivos contrapuestos en la que se representa el árbol de la vida separado por motivos florales estilizados. Bajo la anterior aparece otra más estrecha con dibujos geométricos en zigzag que también se extiende por la línea de los hombros separando las bandas decorativas.  Bordeando las anteriores  sucesión de roleos de una, dos y tres alturas realizados con punto de perlas. En el perímetro del escote y de las aberturas del delantero y espalda puntilla de encaje de bolillos de tipo numérico con motivos geométricos y de pequeñas cintas. Las mangas están decoradas  en la parte superior y en el centro, con bordados de roleos de tres alturas y motivo de Agnus Dei respectivamente, a punto de perlas.  Los puños están igualmente ornamentados con bordado a reserva y una estrecha greca de carácter vegetal a punto de armas. En el borde de la bocamanga y de su abertura, galón con corta flecadura bucleada.  
Las costuras de unión de las piezas que constituyen la prenda se adornan con punto de escapulario anudado.",'vegetal_fibre'
"De forma cuadrada realizada con armazón interior de cartón cubierto por su cara anterior de damasco de seda granate con decoración bordada con la técnica de hilos tendidos al realce y plano, en la que se emplean  hilos de plata y plata sobredorada tipo muestra, cordoncillo y canutillo,  así como lámina dorada y lentejuelas. Igualmente para los detalles se emplean pequeñas puntadas de seda negra y naranja. Sobre un fondo sembrado de lentejuelas e inscrito en una doble orla se dispone el motivo principal, el Agnus Dei, que aparece rodeado por motivos florales. El reverso aparece cubierto por un forro de tafetán de lino.",'vegetal_fibre'
"Cinturón ancho con picos en la zona central, realizado con armazón de cartón cubierto por tres piezas de tejido de tafetán de seda beige con decoración bordada con punto de cadeneta con hilos de algodón de colores. La decoración se desarrolla a partir de un eje de simetría que se localiza en el centro de la pieza que está ocupado por un hueco circular, destinado probablemente a albergar alguna imagen actualmente desaparecida y que aparece enmarcado por un ramo de carácter vegetal formado por distintos tipos de flores, hojas y pequeños frutos, que extiende sus ramas hacia los extremos de la pieza.   
El cinturón se cierra con tres pares de cintas de tafetán de seda que se localizan en los extremos de la pieza, habiéndose perdido dos de ellas . Estas cintas son listadas en rosa y celeste a excepción de la de la parte inferior del lateral izquierdo que es rosa. Se conserva en la misma zona alguno de los corchetes originales.  
Forro de tafetán de seda de color beige.",'animal_fibre'
"Paño cuadrangular confeccionado con tejido de terciopelo de seda de color verde botella decorado con bordado de aplicación de temática heráldica realizado combinando tejidos de tafetán de seda en ocre y marfil y bordado de hilos tendidos de plata sobredorada y al pasado plano con hilos de seda en verde, beige (?) y azul. En el centro, se dispone una cartela con lambrequines en cuyo centro aparece un escudo cuartelado en sotuer, correspondiente a los Mendoza de la Vega, que presenta en el primer y tercer cuartel, una banda de gules perfilada de oro sobre campo de sinople, en el segundo y cuarto, sobre fondo de oro, se acuña en azur el lema""AVE"" ""MARIA"".  Rodeando el motivo central, una greca tambien de aplicación con dos cintas serpenteantes entrelazadas adornadas con roleos en hilos entorchados.  
A lo largo del borde superior e inferior se han añadido,  posiblemente en época posterior, dos bandas de terciopelo estampillado con motivos de losanges con flores de lis inscritas, la inferior más ancha. Rematando el perímetro, un galón de seda verde e hilos dorados.  
Por el reverso, forro de tafetán de cáñamo.  
  
Forma juego con las piezas DE995B y DE997B.",'animal_fibre'
"De forma cuadrada con armazón interior de cartón cubierto por tejido de tafetán de seda de color verde con decoración bordada con la técnica de hilos tendidos realizada con láminas de plata y plata sobredorada, hilos tipo muestra y canutillo igualmente de plata y plata sobredorada y lentejuelas de distintos tamaños y con formas redondas y floreadas. Sobre el fondo e inscrito en fina orla, se coloca un jarrón con gran palma central flanqueada por dos ramas que caen  hacia la base, como único motivo decorativo y que ocupa toda la superficie.  El reverso está cubierto por tejido de tafetán de lino de color blanco.",'animal_fibre'
Banda compuesta por tres piezas de tejido pequín con fondo Gros de Tours de seda granate y cinco franjas  decorativas  verticales adornadas con pequeños motivos florales de carácter geométrico realizados con urdimbres suplementarias flotantes en seda marfil e hilo de plata.,'animal_fibre'
