"obj","museum","text","technique_group"
"http://data.silknow.org/object/60c4732a-ebb9-3738-b5d6-837a7cde7fda","http://data.silknow.org/graph/cer","Edad Media","http://data.silknow.org/vocabulary/facet/other_technique"
"http://data.silknow.org/object/b6e7d148-2d40-382a-9a26-f50463e9095a","http://data.silknow.org/graph/cer","Neoclasicismo","http://data.silknow.org/vocabulary/facet/other_technique"
"http://data.silknow.org/object/07b0ffd8-3fe7-3f5a-8f00-cb94aa0edb2d","http://data.silknow.org/graph/cer","Neoclasicismo","http://data.silknow.org/vocabulary/facet/other_technique"
"http://data.silknow.org/object/6a5486fa-094b-3e08-ab88-2ff710369fc8","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/1d6da545-d004-38c2-97cc-c2d83de4b5ef","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/e6ed3faa-0a9f-33dc-8164-1857f9178734","http://data.silknow.org/graph/cer","Neoclasicismo","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/cd28ab01-307b-3d02-adaf-1fe51948a535","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/7c4f566a-bd1d-3076-8b69-0ffc6129099a","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/7f82fa31-4cc9-34d5-8471-8d7cc17d643a","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/2073cb5b-fd33-35d0-959c-a3a630c588b0","http://data.silknow.org/graph/cer","Renacimiento","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/97bbdcb0-cccf-34ad-9f58-5b971f1a2abd","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/c0e71a1f-5272-398a-9647-97d47426dd55","http://data.silknow.org/graph/cer","Renacimiento","http://data.silknow.org/vocabulary/facet/velvet"
"http://data.silknow.org/object/a6474d89-9e55-38c6-83fd-69ad159036ae","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/velvet"
