text,label
"Dechado semicuadrado de tafetán de lino (lienzo) de color crudo con bordes vueltos en dobladillo a punto de vainica. En los ángulos borlas de hilos de seda utilizados para el bordado. Decoración: geométrica, fitomorfa, zoomorfa y epigráfica, bordado a la aguja `a por cuenta`, a punto de pasado oblicuo, ajedrezado y cruz, en hilos de seda de colores: verdes, tostados, crudos, rosas, azules y amarillos. El esquema son 6 orlas geométricas (abajo), 7 (a la derecha), 5 (arriba y a la izquierda), todas ellas diferentes salvo la exterior que es una línea a punto de cruz de color amarillo. En el centro texto epigráfico con el nombre de la autora del dechado y la discípula. `LE HIZO MARIA MAUR/ELO DIS(la S está bordada al revés)CIPULA DE/Dª ISABEL MARIA D/EL VALLE AÑO DE 1/, a punto de cruz en colores: crudo, tostado, azul, amarillo y verde. Encima del texto orla en los cuatro lados en color crudo y azul. En el centro gran jarrón con cinco ramos de claveles, 4 pájaras a los lados, cruces y castillos.",embroidery
"Prenda femenina de busto, realizada con dos clases de tejido de tafetán de lino, de cuerpo corto con tablas y costura transversal en el pecho, escote redondo levemente de barco con apertura parcial en delantero y espalda, cuadradillo en la axila y manga larga y amplia con frunces en los hombros y en los puños.   
Guarnición bordada en dos órdenes entorno al  cuello, con una primera greca en la que se yuxtaponen una sucesión de flores de seis pétalos con hoja inclinada y zarcillos, realizadas con la técnica al pasado plano con hilo de seda de color verde y  punto de cordón y espiga. Bajo la anterior y sobre las tablas que dan amplitud a la prenda, otra más estrecha en las que se representan motivos en forma de corazón con eje central marcado, roleos y pequeñas prolongaciones. En el contorno del cuello y de las aberturas, puntilla de encaje de bolillos de tipo Torchón con la  cabeza adornada con corazones y abanicos. En los hombros junto a la sisa, puede verse una banda bordada de mayor tamaño que las anteriores, en la que aparecen motivos florales de bordes lobulados con roleos y zarcillos dispuestos sobre una estrecha greca de línea sinuosa adornada con zarcillos y corazones en sus extremos,  todo ello en seda verde y bordado al pasado.  El frunce de la parte superior de la manga está realizado combinando frunces en los extremos y tablas en la zona central, decorándose con el mismo motivo de los hombros, flores de ocho pétalos y estrecha greca en punto de armas.  Los puños están fruncidos y decorados con sucesión de pequeñas grecas realizadas con distintos puntos de adorno.  
Las costuras de unión de las piezas que constituyen la prenda se adornan con punto de escapulario bucleado",embroidery
"De forma cuadrada realizado por la cara anterior con tejido base de Gros de Tours de seda de color beige cuya superficie aparece bordada con la técnica de matizado con sedas lasas beige, rosa, azul, amarillo y blanco y la de hilos tendidos con hilos de plata sobredorada tipo muestra, cordoncillo y camaraña y laminilla dorada. La decoración se dispone en torno a un gran florón central desarrollándose de forma simétrica a base de flores, palmetas, hojas y roleos. El perímetro está rodeado por un cordoncillo de plata sobredorada.  
Para la cara posterior se ha utilizado un tejido base de tafetán de seda de color beige que aparece bordado con la técnica de matizado con sedas lasas beige, rosa, azul, amarillo, verde y blanco y la de hilos tendidos de plata sobredorada tipo muestra y cordoncillo. La decoración de carácter naturalista parte de una pequeña flor con ráfagas situada en el centro de la pieza alrededor de la cual se dispone una decoración a base de ramos de flores con lazos, hojas y roleos que se entrecruzan entre si.   
El interior de la pieza está forrado con tejido de tafetán de rayón de color verde.",embroidery
"Dechado cuadrado de tafetán de lino (lienzo) color crudo cuyos bordes rematan en dobladillo. En los cuatro ángulos tiene un ojete de hilo. Conserva dos borlas de hilo de seda en los ángulos derechos. Decoración: geométrica, zoomorfa, epigráfica y figurada (simbólica cristiana), realizada con bordado a la aguja `a por cuenta` a punto de pasado, punto de cruz y sus derivados, pespunte, cuadradillo, presilla, vainica e incrustación, con hilos de seda de colores verdes, azules, crudos, tostados, amarillos, grises y rosas. El esquema son 5 calles en cada lado, todas con motivos diferentes: rombos, triángulos, barras, etc... En el centro representación simbólica con el tema de la Pasión y cristianos, alrededor gran corazón con el anagrama IHS, barco, gallo, llave, parrilla, martillo, tenazas, escalera, hostiario, corazón, león penachado, lámpara, copón, cordero, estrellas, claveles, pino, pájara, etc... También 14 ojetes de hilo de diferentes colores.",embroidery
"Dechado rectangular de tafetán (lienzo) de lino color crudo cuyo orillo es visible en el lado mayor derecho, los otros tres lados rematan en dobladillo a punto de vainica ciega.~æDecoración: Bordado polícromo con hilos de lino y de seda, a por cuenta, pasado, punto de cruz, derivados del punto de cruz y pespunte. Geométrica, zoomorfa, simbólica y epigráfica. Al borde y a punto de cruz, orla en seda color marrón, tostado y verde. La banda superior epigráfica con el abecedario (incluido la Ñ) la inscripción y la fecha, en cuatro líneas horizontales, `A B C D E F G H Y J K L LL M N Ñ / O P Q R S T V U X Y Z. LOIZO TELE S/ FORA BERENGEL. DE EDA DE 7 AÑOS AÑO DE MIL 840`. En la banda inferior elementos figurativos: custodia, vestido, pino, candelabro, pájaro, escalera, y en el centro un capelo cardenalicio con cruz de dos brazos, todo ello a punto de cruz, sobre el pino a punto de pasado.",embroidery
"Cuadro realizado sobre tejido de tafetán de seda de color crudo con aplicación de trozos de papel con grabado litográfico y chapería y bordado.  Decoración: polícroma, fitomorfa y figurada, zoomorfa y humana (simbólica-cristiana), bordado a la aguja utilizando un dibujo previo, realizado a lápiz, con hilos de seda de colores: verde, azul, amarillo, rosas, rojo y crudo a punto de pasado oblicuo, cordoncillo y graneado. El esquema es una orla exterior de motivos florales yuxtapuestos. En el centro un gran ángel de cuerpo entero, frontal, con túnica y manto, grandes alas y pelo largo, que lleva en su mano derecha un pez y en su izquierda un báculo, sobre una nube, y una filacteria que partes dos querubines, cuyo texto es ilegible. El halo es de lentejuelas, circulares, planas y doradas, con una mostacilla de pasta vítrea. También aplicación de talcos en forma de estrella de seis puntas y de corazón flameante. El tejido se fija mediante costura a un cartón en el que hay etiqueta de fábrica adhesiva.",embroidery
Casaca blanca con forro del mismo color. Faldones abiertos a la espalda. Doble botonadura con catorce botones dorados con la Cruz de Santiago. El cuello con tapilla y tres enganches. Lleva unas presillas delanteras donde debiera ir la insignia de la Orden. Las mangas con tres galones dorados con tres botones. Seis galones dorados en el cuello con seis botones. Charreteras con galones en los hombros.,embroidery
"Dechado rectangular de tafetán muy abierto (malla) de lino color crudo cuyo orillo es visible en el lado derecho, los demás están recortados a tijera y deshilados.~æDecoración: Figurada, simbólica-cristiana, zoomorfa, fitomorfa, heráldica, humana, geométrica y epigráfica realizada a punto de aguja `a por cuenta`, en punto de cruz, son hilos de seda de color morado, amarillo, tostados, rojo, verdes, malvas, azules.~æEl esquema está dividido en tres franjas. En la superior el abecedario y los números, en cuatro líneas: `A B C D E F G H I J L M N O P Q R S T V U X Y Z (ilegible por pérdida abundante de hilo de trama de bordado color morado), debajo repite en color amarillo. Debajo repite a excepción de la letra V en color tostado. Debajo abecedario ilegible y números 1 2 3 4 5 6 7 8 9 0, en morado. En el centro motivos en tres calles horizontales. En la primera cuatro orlas geométricas, en la 2ª ocho motivos; cesto de frutas, perro, jarrón con flores, cruz con dos figuras humanas a los lados, pájara sobre una rama, jarrón con flores, el gallo de la Pasión. En la 3ª león penachado, cesto de frutas y flores, cesto con frutos y flores, águila bicéfala coronada con el escudo de la Orden de Malta, jarrón con flores. Debajo inscripción: `LO HIZO MAURICIO SANCHO A LA EDAD DE 9 AÑOS AÑO DE 1870`.",embroidery
"Dechado rectangular horizontal en salpicado caprichoso de tafetán (lienzo) de 58.5 cm de ancho de telar de lino color crudo (lienzo) con bordes mayores en dobladillo a punto de vainica ciega y en los menores es visible el orillo. Decoración geométrica, zoomorfa, fitomorfa y simbólica, con bordado polícromo en hilo de lino de colores tostados, verdes, azules, rojos, malva, rosa y morado, también en hilo de seda de color amarillo. Reproduce cenefas decorativas y elementos sueltos: cestos, pájaras, flores, estrellas, custodias, pinos y árboles de la vida. Bordado `a por cuenta`, a punto de pasado, cruz, cordoncillo, cadeneta y ensortijado.",embroidery
"Dechado rectangular de tafetán de lino muy abierto (esterilla) color tostado con bordes rematados en dobladillo a punto de vainica ciega. Decoración: Bordado polícromo con hilos de lino y seda dobles y sencillos en colores verdes, rojo, azul, rosa, malva, amarillo y negro. Geométrica, zoomorfa, vegetal y simbólica (religiosa), a punto de `a por cuenta` a punto de cruz, y pasado. Orla exterior, en los lados menores guirnalda vegetal serpenteante, arriba de flores y hojas yuxtapuestas. En el centro gran Custodia coronada con pie floral, a la izquierda ave (periquito) posada en rama y dos pájaras afrontadas a cada lado del tulipán coronado; a la derecha barco de tres palos con tres banderas, un jinete a caballo y un cesto de frutas. Leyenda",embroidery
