obj,museum,text,label
http://data.silknow.org/object/0007bc1d-e3fb-3940-a97c-f4cd78ae5fcf,vam,"Silk brocade textile, Varanasi, 19th Century.",'Gold thread'
http://data.silknow.org/object/ae62567f-21a4-35fa-ae64-6733fb16700b,vam,"Woman's kaftan. The fabric is silk woven with stripes on a cream ground; narrow stripes of gold thread alternate with broader stripes of delicate floral sprays, also in gold thread. In its present state, the skirt is gathered onto the bodice with a restraining braid around the waist. There is evidence of a coarse cotton lining (which has been cut away). There is a slit on either side of the skirt, bound with a metal braid, to provide access to pockets. The bodice is fitted. The sleeves are long and hang loose from the elbow. Both bodice and skirt are further decorated with couched metal braid which has been strengthened on the reverse by stitching through paper. Some of this appears to be an ink-written letter in Greek. 

Yellow ribbons may have been added at a later date to provide a fastening down the centre front.",'Gold thread'
http://data.silknow.org/object/ad0b02b1-606c-3d63-8f64-012afad86639,vam,Woven with cut silk pile on a ground enriched with silver thread. This velvet is woven with a border on each side and was therefore almost certainly intended to hang as a wall panel.,'Silver thread'
http://data.silknow.org/object/aca53c45-e3f5-300e-91cb-ed0b98ac23fe,vam,"Seal bag of green silk velvet, lined with leather. It is circular in shape with a wide circular base reinforced with pasteboard and shallow sides pleated and pulled together with drawstrings (now missing).  The bag is couched with silver filé and purl over parchment; on the base is a coat-of-arms of a ship with 3 sails, embroidered with silver, pink and blue silk thread.",'Silver thread'
http://data.silknow.org/object/ab88ec12-cfa5-3b16-8c16-abe22e16dd98,vam,"Many decorative early 17th century bags survive, but it is not entirely certain how they were used and worn. They are too delicate and elaborate to serve as receptacles for money carried on one's person on a daily basis.  Few commercial exchanges in the early 17th century required cash, and most household shopping was done by servants.  However, they were used as a form of gift-wrapping for the presents of coin that were offered as a New Year's gifts to the monarch.  

These embroidered bags may also be the 'sweet bags' frequently listed in inventories and offered as gifts.  These held perfumed powder or dried flowers and herbs, and were perhaps applied to the nose like a pomander when necessary.

The pattern of flowers and fruits is typical of English embroidery designs in the early 17th century.  Embroidery pattern books of the period feature a range of flowers and fruits, inspired by illustrated botanical books and herbals.",'Silver thread'
http://data.silknow.org/object/a95814c5-5b8d-36d2-be70-396152fdecb6,vam,Unique,'Silver thread'
http://data.silknow.org/object/a8f2ed0b-f8e0-3e77-b493-f81b454f77c9,vam,"Bag of tapestry woven silver flowers on carnation silk, 1600s, French; ivory taffeta lining",'Silver thread'
http://data.silknow.org/object/a7cd3053-a3dc-3202-bbb3-9dae7240d21c,vam,"Small decorative bags or purses were used to carry small tools and accessories such as mirrors.  The matching of a pincushion with this example, suggests it was used for sewing tools.",'Silver thread'
http://data.silknow.org/object/a714e508-2afa-355b-a148-54b752d284da,vam,Unique,'Silver thread'
http://data.silknow.org/object/a6aaffd0-cae9-3eb3-be32-c04c0dad87a2,vam,"Many decorative early 17th century bags survive, but it is not entirely certain how they were used and worn. They are too delicate and elaborate to serve as receptacles for money carried on one's person on a daily basis.  Few commercial exchanges in the early 17th century required cash, and most household shopping was done by servants.  However, they were used as a form of gift-wrapping for the presents of coin that were offered as a New Year's gifts to the monarch.  

These embroidered bags may also be the 'sweet bags' frequently listed in inventories and offered as gifts.  These held perfumed powder or dried flowers and herbs, and were perhaps applied to the nose like a pomander when necessary.

The pattern of flowers and fruits is typical of English embroidery designs in the early 17th century.  Embroidery pattern books of the period feature a range of flowers and fruits, inspired by illustrated botanical books and herbals.",'Silver thread'
