"obj","museum","text","material_group"
"http://data.silknow.org/object/d6badd88-baf5-380b-a302-478042787a33","http://data.silknow.org/graph/cer","Renacimiento","Gold thread"
"http://data.silknow.org/object/903d4672-90ff-39dc-8c8d-e735104d5edd","http://data.silknow.org/graph/cer","Barroco","Gold thread"
"http://data.silknow.org/object/d0267721-8376-334b-8d56-ddb32abad5fd","http://data.silknow.org/graph/cer","Renacimiento","Gold thread"
"http://data.silknow.org/object/eb7890b4-3b30-3916-bf77-3615a16570ab","http://data.silknow.org/graph/cer","Rococó","Silver thread"
"http://data.silknow.org/object/baf2af58-c998-320b-87d6-87be895e0306","http://data.silknow.org/graph/cer","Edad Moderna","Vegetable fibre"
"http://data.silknow.org/object/283edfbf-9255-3d5e-ad24-5feb2ec68b06","http://data.silknow.org/graph/cer","Edad Contemporánea","Gold thread"
"http://data.silknow.org/object/1bec15e8-bf94-3a89-979b-bfc6b499dc41","http://data.silknow.org/graph/cer","Edad Contemporánea","Gold thread"
"http://data.silknow.org/object/a2c02d3e-6be1-37fa-884f-29d3fa5711a5","http://data.silknow.org/graph/cer","Edad Contemporánea","Gold thread"
"http://data.silknow.org/object/c06ade5c-372c-38a7-8991-2e301ececbce","http://data.silknow.org/graph/cer","Edad Contemporánea","Silver thread"
"http://data.silknow.org/object/baf2af58-c998-320b-87d6-87be895e0306","http://data.silknow.org/graph/cer","Los travesaños repuestos en el asiento y respaldo indican que se trata de una pieza, que haya sido retapizada con tejidos antiguos. Las alteraciones en la pieza y el cepillado de la superficie indican que en el momento del retapizado ya debió de tener cierta antigüedad su estructura. El perfil de la chambrana frontal remite a otros ejemplares o en madera vista tallada, o bien a la silla de brazos chapeada con marfil y maderas exóticas, conservada en el Instituto de Valencia de Don Juan con Nº inv. I 4926, fechable en la primera mitad del siglo XVII [ver El mundo que vivió Cervantes (Cat. Exp.), 2005, Centro Cultural de la Villa, Madrid, 11.10.2005-08.01.2006, , Madrid, Sociedad Estatal de Conmemoraciones Culturales: 453; nº cat. 259, ficha de Casto Castellanos Ruiz, con inversión de la foto con la ficha siguiente].","Vegetable fibre"
"http://data.silknow.org/object/baf2af58-c998-320b-87d6-87be895e0306","http://data.silknow.org/graph/cer","Silla de brazos de madera de nogal sobre zapatas, con brazos rectos y chambrana frontal recortada en forma de balaustre con talla en bajorrelieve, la tapicería de terciopelo de seda carmesí.  
Estructura de montantes aserrados, los traseros con fuerte inclinación a partir de la altura del asiento, disminuyendo de grosor y con remate recortado en forma de ménsula. Ensamblados a caja y espiga con clavijas a los travesaños: sendas zapatas con sus testas redondeadas; dos travesaños traseros, el superior con su canto inferior recortado de forma lobulada. La chambrana frontal de una tabla recortada en forma de balaustre. Cintura corrida para el tapizado del asiento, los travesaños frontal y trasero de madera de pino (repuestos posteriores). El respaldo con sendos travesaños, el inferior de madera de pino (añadido posterior). Los brazos se enrollan al frente en forma de voluta y presentan vuelo lateral marcado del lado superior del recodadero, hacia el exterior.  
Decoración de talla de gubia en los montantes frontales y los remates de los montantes traseros, y de talla en bajorrelieve en la chambrana frontal. Toda la superficie de la estructura ha sido cepillada.  
Tapicería de asiento y respaldo al aire, con terciopelo de trama y urdimbre de color amarillo, y pelo carmesí, en el asiento provisto de lengüetas y de cinchas por debajo. Bordeados de cinta de pasamanería de hilo de seda carmesí y de hilo metálico. Al frente del asiento y en el canto inferior del respaldo, flecos de hilo metálico doblados por un trozo de tejido de damasco de seda carmesí. El respaldo también forrado de damasco de seda de color carmesí.  
Los clavos decorativos de latón (?) fundidos, con cabeza estrellada.  
Los montantes frontales con acanaladuras, boceladas en su parte inferior. Las ménsulas de remate del respaldo con moldado vertical. La chambrana frontal con cartucho oval central, flanqueado simétricamente por sendos motivos de roleos opuestos, rematados en pequeñas volutas, configurando una forma en H.","Vegetable fibre"
"http://data.silknow.org/object/c8bad265-3e81-3911-be97-7f76a4b50eb9","http://data.silknow.org/graph/cer","Estructura (elemento mobiliario): Edad Contemporánea   Tapicería (elemento mobiliario): Edad Moderna","Vegetable fibre"
