obj,museum,text,label
http://data.silknow.org/object/98b0b377-1f7a-309d-b800-4a76138d6a97,cer,"Brocado de terciopelo rojo. Motivo de gran piña central con ancha orla, rodeada de clavellinas y capullos en perfiles de terciopelo. Conserva poco hilo de oro y nada de anillado. Rematado con estrecho galón rojo y oro de la epoca.",Velvet
http://data.silknow.org/object/3fc5132a-a4a1-3203-8d91-61c3cf8ec6b4,cer,"Tapete rectangular formado por tres fragmentos de tejido reutilizados (dos pekines y uno naturalista). Conserva un forro de damasco amarillo y está rematado con galón en todo el perímetro, y en las uniones de los distintos tejidos.   
La parte central consiste en un tejido de color salmón de forma cuadrada, decorado con motivos de flores y pájaros realizados en seda de distintos colores dispuestos de forma ordenada y contrapuesta. Las dimensiones del fragmento impiden conocer las medidas del ancho de telar y del ""rapport"", y la presencia del forro impide saber si conserva los orillos.   
  
Tejido salmón:  
Ligamentos:  
-Raso de 5 por urdimbre  
-Tramas espolinadas  
-Briscado  
-Chenilla",Satin (fabric)
http://data.silknow.org/object/3f87cdc0-b0d1-3721-b49d-a8fa0d424078,cer,"Abanico chino para la exportación.  
La decoración recuerda a la de los mantones de Manila.  
  
Bibliografía comparada:   
-Aleteos, Colección de abanos do Museo Provincial de Lugo .Lugo. Diputación Provincial de Lugo, 2002, p.39, nº 6.  
- Catálogo-Exposición :  ""Chine- Chinoiserie en Château de Maison"", Cercle de l´Eventail, París, 27-X- 2005 al  15- I - 2006, p. 83. (la temática es parecida).  
-CHECCOLI, Anna: Ventagli cinesi giapponesi ed orientali. Firenze, Edizioni Tassinari, 2009, p. 81 ;  p. 87.  
- MERINO DE CÁCERES, Maruja: Orientals fans in the National Museum of Decorative Arts in Madrid. En: FANS, The Bulletin of Fan Circle International. Londres, 2007, nº 85 pp. 22-29.  
-RODRIGO ZARZOSA, Carmen. Colección de abanicos en el Museo Nacional de Cerámica. Catálogo - Exposición. Madrid, Ministerio de Educación y Cultura, 2000, p. 156, nº 96.  
-VOLET, Maryse; BEENTJES, Annette: Éventails, Collection du Musée d´ art et d´ histoire de Genéve. Genéve.  Editions Clairfontaine, 1987, p. 152, nº 141-142.  
  
   
  
  
  
  
  
  
  
  
  
VOLET, Maryse; BEENTJES, Annette: Éventails, Géneve, 1987, editions Clairfontaine",Embroidery
http://data.silknow.org/object/aa6597a8-a10d-3fe8-bc4f-6b3b5cb2693f,cer,"Fragmento textil, con la ornamentación distribuída en bandas horizontales de raso color crema y realizada con bastas largas de trama suplementaria que cambia dando lugar por el revés a bandas de distintos colores: marrón,  verde, amarillo y azul. El fondo es de tafetán  de  color azul con terminación moaré.",Satin (fabric)
http://data.silknow.org/object/d3b67cfc-23ec-3c0b-8bdf-de7857ec5459,cer,"Fragmento textil con motivos geométricos y vegetales estilizados. Está realizado en terciopelo de seda cortado en color rojo carmesí. Brocado, mientras las decoraciones con ligamento de base de raso de seda, están tejidas en color dorado con aplicaciones de hilos metálicos, posiblemente de plata.",Velvet
http://data.silknow.org/object/3eb9d3f3-5ab2-356c-883d-378e9aa50c7d,cer,"Figura masculina de madera tallada. La cabeza y las manos, realizados en marfil, tiene ojos de cristal mientras que el  pelo, las pestañas, las cejas y los labios están policromados. Posee un vestido realizado en raso de seda de color verde, decorado en la parte frontal con láminas metálicas aplicadas de dos en dos, verticalmente, con hilo de seda lasa de color amarillo. La decoración en la parte inferior del vestido consiste en capullos enlazados por tallos sinuosos. Los capullos están realizados con ajedrezado de lámina metálica en la parte superior, sobre dos hojas en V realizadas con cordoncillo metálico. Aparecen enmarcando el capullo superior y en el cenrto inferior, dos hojas, colocadas simétricamente, realizadas con lámina metálica. Los puños y el cuello están rematados con una pasamanería consistente en tafetán de seda amarilla, con cordoncillo, y en el pecho, una pieza en forma de U, decorada con fleco metálico enmarcado una línea vertical de lentejuelas. El forro es de tafetán de algodón blanco. Forma pareja con la pieza CE08469.",Satin (fabric)
http://data.silknow.org/object/d4946cd6-8fa5-36be-bf6e-8173d7058172,cer,Edad Contemporánea,Damask
http://data.silknow.org/object/7c4f566a-bd1d-3076-8b69-0ffc6129099a,cer,Art Nouveau,Velvet
http://data.silknow.org/object/7c5904a8-d259-3916-90be-82f7d27109e1,cer,Edad Contemporánea,Damask
http://data.silknow.org/object/d5210fdc-8ec5-31f4-95a0-9b44987a4b54,cer,"Fragmento textil de forma rectangular, de seda espolinada con ligamento base de otomán de seda en su color natural. Decoración vegetal de seda espolinada en colores rojo, azul, salmón, malva, verde y marrón. Conserva los dos orillos (seda en su color y azul).  
  
Ligamentos:  
-Tafetán [base]  
-Tramas espolinadas para la decoración",Damask
http://data.silknow.org/object/3e1127f3-d387-3f4b-90c1-0e23ea7cac44,cer,Edad Moderna,Velvet
http://data.silknow.org/object/d53fea86-be58-31a3-9dbc-f4650781407d,cer,Damasco rojo y blanco con decoración de grandes motivos vegetales. Forro de lienzo. Faltan galones o fleco de remate.,Damask
http://data.silknow.org/object/7cab0d0c-3391-3d14-b4e8-3b359b5a1000,cer,Edad Contemporánea,Embroidery
http://data.silknow.org/object/3c1ba707-27aa-36e3-b50e-4aa0bcb2dc32,cer,"Fragmento textil de forma cuadrada, con ligamento base de raso de seda  de color marrón. Decoración vegetal estilizada con terciopelo cortado y bucleado en color verde y marrón.",Velvet
http://data.silknow.org/object/7d4fb713-55dd-3cc5-b2e3-2d8a7ab16a3c,cer,"Estructura de madera con paneles de rejilla, marcos de arista con decoración de rocalla y roleos tallados. Frente de puerta y laterales con parte superior acristalada. Techo en cuero con clavazón cincelada. El interior forrado con tela de seda francesa o valenciana de finales del siglo XVIII (1780), listada alternando color azul y blanco y flores (flores efectos de urdimbre, hojas sinuosas efectos de trama), flecos de pasamanería. Entretelas de seda verde y tafetán de lino.",Satin (fabric)
http://data.silknow.org/object/3afa9347-8a1f-3760-91d2-10c03f75c966,cer,Arte Chino,Velvet
http://data.silknow.org/object/d6c7ed5d-ee3d-39aa-b0f7-30a4802daf62,cer,Edad Moderna,Embroidery
http://data.silknow.org/object/d34d2e8a-5fc5-3f2b-b101-ac1e588a1710,cer,Edad Moderna,Damask
http://data.silknow.org/object/3ad61a6c-f076-3fb0-a51e-37ae1ae38b7c,cer,"Abanico pericón (por su gran tamaño). Madernista de plumas.  
Muy parecido al nº 4.948.  
  
Bibliografía comparada:  
  
FÄCHER:  Kunst und Mode aus fünf Jahrhunderten, München, Hirmer Verlag. [Exposición celebrada en Alemania del 26 de junio al 4 de octubre de 1987, organizada por Herausgegeben vom Bayerischen Nationalmuseum]1987, p. 244, Nº 115.  
-FILIPPINI SACHETTO, Amalia; TESTONI SASSI, Lidia: Un soffio di vanità. Ventagli da collezione private italiane .Roma.De Luca Edizioni d´Arte, 1999, p. 127, nº 137.   
-Ventalls i mantons de manila : exposició, Museu Romàntic, Can Papiol.  Diputació de Barcelona, Servei de Cultura, 1987, p. 71,  nº 41",Satin (fabric)
http://data.silknow.org/object/44708b78-ed62-3625-bb56-30332cf62eb1,cer,Edad Moderna,Velvet
http://data.silknow.org/object/cde9b381-afc7-3c7d-9d35-cba2bfe500bb,cer,Edad Moderna,Velvet
http://data.silknow.org/object/ad07ea1f-6b8a-3620-91e2-5ae1eaf490cc,cer,"Casulla de terciopelo rojo con decoración de piñas o alcachofas entre tallos sinuosos, decorada con una cenefa en terciopelo azul con la misma decoración. Detalles de anillados en las piñas.",Velvet
http://data.silknow.org/object/ce5db781-ec99-3de6-887e-a3a8d6d240ba,cer,Edad Contemporánea,Satin (fabric)
http://data.silknow.org/object/acfe8aa1-01d8-3749-94cc-07f9d96b1481,cer,Edad Moderna,Velvet
http://data.silknow.org/object/ac48f463-44c6-39bb-b8cc-527867fcc84d,cer,Edad Moderna,Velvet
http://data.silknow.org/object/ac0a1dcd-423d-3e8e-baee-62a131211b1e,cer,"Fragmento cuadrado de terciopelo de seda de color salmón con decoración grabada.  
Urdimbre de seda en su color, trama y pelo de color salmón, se trata aparentemente de un Gros de Tours. Uno de los orillos preserva el orillo de tejer.  
El fragmento conserva hilos y señales de costuras anteriores, posiblemente de aplicación bordeando los cantos. En cada ángulo, conserva fragmentos de borlas de pasamanería, más o menos bien conservados.  
Decoración grabada del fondo completo del tejido, realizado probablemente con dos hierros.  
Motivo tapizante de filas superpuestas de arcos polilobulados, en los cuales se inscribe un segmento de arco de medio punto, a modo de escamas.",Cut velvet
http://data.silknow.org/object/79c728b7-4198-3b00-8ddb-b290d2c4959a,cer,"Decoración de motivos florales grandes en rojo, verde y azul. Rematado con fleco de seda.",Embroidery
http://data.silknow.org/object/cfd6b933-896a-331d-96e7-e99c794edd77,cer,"Dechado rectangular de tafetán de lino muy abierto (esterilla) color tostado con bordes rematados en dobladillo a punto de vainica ciega. Decoración: Bordado polícromo con hilos de lino y seda dobles y sencillos en colores verdes, rojo, azul, rosa, malva, amarillo y negro. Geométrica, zoomorfa, vegetal y simbólica (religiosa), a punto de `a por cuenta` a punto de cruz, y pasado. Orla exterior, en los lados menores guirnalda vegetal serpenteante, arriba de flores y hojas yuxtapuestas. En el centro gran Custodia coronada con pie floral, a la izquierda ave (periquito) posada en rama y dos pájaras afrontadas a cada lado del tulipán coronado; a la derecha barco de tres palos con tres banderas, un jinete a caballo y un cesto de frutas. Leyenda",Embroidery
http://data.silknow.org/object/79d97806-2c55-3c44-a1be-15456e135b7d,cer,Art Nouveau,Velvet
http://data.silknow.org/object/d0057a04-28ff-393d-828a-c5c80d64e576,cer,"La curvatura de la punta indica que se trata de un calzado de época tardía, llevado por oficiales de la corte.  
Forma pareja con otra bota con el número de inventario 16.648.",Satin (fabric)
http://data.silknow.org/object/d049b3c7-81af-35d8-880b-bda3141558a3,cer,"Abanico plegable.  
  
País: doble de raso de seda y tafetán de seda en su color, pintado a la aguada, con toques dorados, con aplicaciones de encaje a la aguja.  
Varillaje: 14 varillas + 2 guardas de nácar ""goldfish"" grabado.   
Clavillo:  remachado sobre virola de nácar madreperla.   
  
Cara: decorada con tema central; alegoría de la música en el centro y tres musas con túnicas y mantos en tonos pasteles; una toca la trompeta, otra la flauta.  A, ambos lados, ramilletes de flores de encaje de lino a la aguja, ramilletes policormados y roleos dorados. Ribeteado toda la cara del país con puntilla mecánica en su color natural.  
Revés: decorado con ribete de bicolor, rosa y azul, de tipo vegetal.   
  
Fuente: muy sobria, con tan sólo un realce bordeando las varillas que se repite en las guardas.",Satin (fabric)
http://data.silknow.org/object/426c1fa7-e0c6-3261-a531-75dff48f47b9,cer,"Abanico alfonsino de temática costumbrista.   
Bibliografía comparada:  
-Colección de Abanicos del Museo Nacional de Cerámica, cat. exp., 2000, Museo Nacional de Cerámica y Artes Suntuarias, Valencia, p. 117, nº 47.  
-MERINO DE CÁCERES, Maruja, ""Alfonsino Fans in Madrid´s Nacional Museum of Decorative Arts"" en  FANS, The Bulletin of The Fan Circle International. 2006, nº 82, pp. 10-14.  
- MERINO DE CÁCERES, Maruja, GARCIA LOU, Ana : Costumbrismo in Spanish fans of the 19th and early 20th Centuries. En: FANA Journal, Nueva York, Fall 2007, pp. 4-14.",Satin (fabric)
http://data.silknow.org/object/424b9214-52d7-3ac9-9b0c-b0306f67b13c,cer,Edad Moderna,Velvet
http://data.silknow.org/object/d135c3a8-c594-30b9-bb3b-a03ff05839d5,cer,"Nueve fragmentos que corresponden a un mismo tejido de damasco verde decorado con distintas figuras y motivos realizados en seda roja e hilo metálico plateado y dorado. Sobre fondo de damasco decorado con motivos vegetales, se suceden figuras de carácter fantástico ordenadas en franjas horizontales en las que aparecen representadas una figura masculina tañendo una trompeta natural y sentada sobre una flor, una serpiente enroscada sobre un tallo vegetal, formas arquitectónicas fantásticas, una figura femenina semidesnuda coronada montada en un carro (¿Cibeles?) y un pavo real. Las dimensiones de los fragmentos impiden conocer las dimensiones del ancho del telar y del ""rapport"", y ninguno conserva orillo.  
  
Ligamentos:  
-Damasco realizado en raso de 5 por urdimbre [brillo] y tafetán [mate] [base]   
-Tramas dobles de hilo metálico dorado espolinadas que ligan en sarga [decoración]  
-Tramas espolinadas de seda roja, hilo metálico doradoy plateado [decoración]  
-Briscado [decoración]",Damask
http://data.silknow.org/object/41310df2-3fa5-3067-98ec-4010efd0012f,cer,Edad Moderna,Velvet
http://data.silknow.org/object/412403b6-1b7b-3cc0-8efc-153536a32fdc,cer,"Silla con montantes y largueros ornamentados con motivos florales y geométricos en forma de ajedrezado y cubos en damero, con respaldo de pala recta rematado con copetes calados y soportes rectos, con ensamblaje de caja y espiga. El asiento y el respaldo van henchidos y tapizados. La unión de madera y el tapizado se remata con cinta de pasamanería.",Damask
http://data.silknow.org/object/410fad6b-f2e9-3a14-8999-7b5f471f9d71,cer,Damasco amarillo con decoración de granada de gran tamaño. Conserva los orillos desiguales.,Damask
http://data.silknow.org/object/d1a170d0-9297-3a1e-a783-d2c3417f224a,cer,"Capillo con figura de la Virgen con Niño entronizada. Bordado en seda de tonos rosas y verdes. Rostros perdidos. El fondo de oro y sedas de colores en azulejos de suelo.   
Galón de oro bordado en relieve, con flecos rosas y blancos.",Embroidery
http://data.silknow.org/object/40598e95-4990-30a4-822a-d791a82249c4,cer,"Abanico popular con tema costumbrista. Difícil de datar con precisión. Parecido al nº 17. 750  
  
Bibliografía comparada:   
-Aleteos, Colección de abanos do Museo Provincial de Lugo .Lugo. Diputación Provincial de Lugo, 2002, p. 54, nº 59.  
 -MERINO DE CÁCERES, Maruja y GARCÍA LOU, Ana : "" Costumbrismo in Spanish fans of the 19th and early 20th Centuries"" en FANA JOURNAL, New York , Fall 2007,pp.4-14.",Satin (fabric)
http://data.silknow.org/object/cd7c7b8a-e9c8-38d2-aac5-c10db4aa3df4,cer,Época Luis XIV   Edad Moderna   Barroco,Damask
http://data.silknow.org/object/7d97a31f-946b-3a47-b145-58649e6462df,cer,"Tejido de doble fondo de seda azul y decoración en lana color crema y ocre claro que en el fondo queda cubierta por el tejido independiente de seda azul. El motivo de la decoración es muy pequeño y finísimo, es un sembrado de palmetas y estilización vegetal organizada con una perfecta simetría. El fleco de seda azul, amarilla y roja, de la época. Forro de lienzo de lino amarillo.",Embroidery
http://data.silknow.org/object/dcc7fce9-1613-3b2c-8d0d-ffca7c1a7e32,cer,Arte Filipino,Embroidery
http://data.silknow.org/object/a6474d89-9e55-38c6-83fd-69ad159036ae,cer,"Este sofá realizado en madera de palisandro, de patas cabriolé y brazos curvos, se encuentra tapizado en asiento y respaldo con el tapizado original de fondo tostado y estampado floral en terciopelo marrón oscuro. A los lados del respaldo, curvas que se abren como alas, copete con talla floral y cintura con curvas que se entrelazan. Forma parte de una sala de estar de trece piezas: un banco, dos escabeles, dos sillas, dos butacas, un sofá, un espejo, una pantalla de chimenea, un velador, un mueble bar y una rinconera.  
Se integra en un conjunto de mobiliario modernista que es un buen exponente de los amueblamientos de salón de múltiples compartimentos que se desarrollan desde los años setenta del siglo XIX. La ornamentación basada en líneas sinuosas, que exceden en ocasiones los límites del marco, así como la combinación con la decoración de motivos vegetales, hablan de su adscripción al Modernismo. Si tenemos en cuenta el banco que forma parte de este conjunto, propio de la transición al siglo XX, podría datarse esta pieza en la misma etapa. Fue realizado por Muebles Elorza, de la ciudad de Vitoria. Procede de la sala de estar encargada por el matrimonio Munsuri Echevarría para su palacete de Indauchu.",Velvet
http://data.silknow.org/object/31f50608-7bfb-35ca-8045-d74b952bfce9,cer,"Abanico modernista.  
  
Bibliografía comparada:   
-Aleteos, Colección de abanos do Museo Provincial de Lugo .Lugo. Diputación Provincial de Lugo, 2002, p. 88, nº 53.",Satin (fabric)
http://data.silknow.org/object/ddb7451b-b7ae-3e95-aa6a-e9a4c6dddc11,cer,"Las tallas de damasco rojo de gran composición vegetal y las cenefas de delantero y espalda de damasco rojo y blanco con decoración vegetal también, de tipo distinto. Galón dorado. Forro lienzo.",Damask
