obj,museum,text,label
http://data.silknow.org/object/88078de2-8260-3ab8-9be1-4130fc666638,cer,"Luis XV, Rey de Francia",Floral motif
http://data.silknow.org/object/ddb7451b-b7ae-3e95-aa6a-e9a4c6dddc11,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/de5f6701-dd88-382c-830c-eff688f123c8,cer,Edad Moderna,Floral motif
http://data.silknow.org/object/de7f67a7-22d5-3480-86e6-96ec6b21bd1d,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/26ca5e89-fe47-3e2c-87c5-5e5e8fa21ed1,cer,"La decoración de estos abanicos es bastante sencilla, con poca calidad de factura.  
Muy parecido a los nº: 21.481, 21.486 y 21.490  
Bibliografía comparada:  
-Aleteos, Colección de abanos do Museo Provincial de Lugo .Lugo. Diputación Provincial de Lugo, 2002, p.44, nº 11.  
- Catálogo-Exposición :  ""Chine- Chinoiserie en Château de Maison"", Cercle de l´Eventail, París, 27-X- 2005 al  15- I - 2006, p. 113, nº 76.  
- MERINO DE CÁCERES, Maruja: Orientals fans in the National Museum of Decorative Arts in Madrid. En: FANS, The Bulletin of Fan Circle International. Londres, 2007, nº 85 pp. 22-29.",Geometrical motif
http://data.silknow.org/object/dfd47298-6b9d-38e4-a663-2b4dc097cad5,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/25b23c9f-1b42-3904-80a6-b2fce6e01a69,cer,Época Luis XIV   Edad Moderna   Barroco,Floral motif
http://data.silknow.org/object/6a517553-90df-39ba-9e76-76b6501a4568,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/6bfe171c-5601-345d-8b2a-fb63bb853cc9,cer,Dinastía Qing,Floral motif
http://data.silknow.org/object/a0e45f33-d17a-3ecf-95a7-6168a188cecd,cer,Edad Contemporánea,Floral motif
http://data.silknow.org/object/e095dbdc-796e-3dfd-a1c6-1e96a7ce8011,cer,Época Luis XIV   Edad Moderna   Barroco,Vegetal motif
http://data.silknow.org/object/e10a497f-b462-30da-a197-88439e7b5fd8,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/9fa70f01-21a8-3721-a8e7-4ae4565ff6ad,cer,Época Luis XVI   Edad Moderna,Floral motif
http://data.silknow.org/object/9eda2dfa-9295-3900-9c4c-cd4796a053ce,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/6da9171f-2b91-36e8-887a-196fb1df34b2,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/25915d2e-6219-3648-a88e-86e450b3c176,cer,Edad Contemporánea [Época modernista],Floral motif
http://data.silknow.org/object/6e0c2081-49a4-39fd-8815-abd333346fe9,cer,Época  Alfonsina,Vegetal motif
http://data.silknow.org/object/2791d0e7-e4a2-31ec-9e86-4c7cfbe3e859,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/dc72a067-fca4-3c1c-818c-33df7e528326,cer,Época Luis XIV   Edad Moderna   Barroco,Floral motif
http://data.silknow.org/object/2f2fe9ee-42a8-37eb-b002-942d39197e86,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/d8c3134b-4523-3ad0-ba53-aba36ca71de6,cer,Edad Contemporánea [Época modernista],Vegetal motif
http://data.silknow.org/object/a5b9cda8-1571-3a9e-b7c5-a2582cbcebdf,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/da5cd975-b843-3611-a2f6-47c967364867,cer,Edad Moderna,Floral motif
http://data.silknow.org/object/da7ca9d8-b4ff-3818-b1ea-66f62a8b4e2c,cer,Edad Moderna,Floral motif
http://data.silknow.org/object/2c4292d0-c803-37ff-bb96-1dd0a8c9d0a7,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/280c6c22-7f27-3eb5-8a6a-d711c6cc5c84,cer,Edad Moderna,Geometrical motif
http://data.silknow.org/object/dad7f45a-8cd0-3c28-bf6a-4b896d85b5ba,cer,Edad Contemporánea,Vegetal motif
http://data.silknow.org/object/2b549afc-0582-378d-be54-3fb91f5991c3,cer,Edad Moderna   Barroco   Época Luis XV,Floral motif
http://data.silknow.org/object/29c08c82-75d3-321f-a6e7-c53cee9bbc10,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/dc20d78b-4aac-325d-9f5f-9a980474b1d2,cer,Edad Moderna,Floral motif
http://data.silknow.org/object/dc3129f1-3003-3d60-a215-59e9c50cdbe3,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/dc5339f4-6d17-3db3-9ac6-39ea270fc97a,cer,Edad Moderna,Vegetal motif
http://data.silknow.org/object/a2e664b6-ce15-3f14-b1ce-052e095509f7,cer,Edad Moderna,Floral motif
http://data.silknow.org/object/2b61928a-ac99-3329-af5a-cc8ceeb1d3c8,cer,Dinastía Qing,Floral motif
