text,Label
"Cope made of silk damask, lined with silk and with a hood and orphreys of canvas covered with silk damask and embroidered, designed by Sir Ninian Comper, woven by Perkins and Sons Ltd., and embroidered by the Sisters of Bethany's School of Embroidery, London, ca. 1890",weaving_technique
"Cope made of red silk damask and lined with green silk with twill weave, and with a hood and orphreys of canvas covered with blue silk damask and embroidered with floss silks and with gold thread in long and short, split satin and stem stitches with laid and couched work or nué. The hood is trimmed with a fringed braid of red, white and green silk.\n\nThe decoration on the hood is of the Pentecost.\n\nOn the right hand orphrey there are Saint David of Wales, Saint Hilda (Abbess), and Saint Columba of Scotland.\n\nOn the left hand orphrey there are Saint Edward the Confessor, Saint Margaret of Scotland, and Saint Patrick of Ireland.",weaving_technique
Burmese multi-coloured cotton and silk hta-mein. Konbaung Dynasty (1752-1885). ca. 1850. Acheik-luntaya patterned area.,weaving_technique
"Composed of three parts. A red cotton waistband (w.68.5 cm)  joined to a strip of acheik (horizontal wave patterned) silk textile with checkered end borders of golden yellow, mid-green, red and white (w.63.5 cm.) to which is attached a separately woven pink silk train  partly patterned with fine horizontal stripes in red, yellow and purple (w.45.5 cm.) These components are hand stitched together.",weaving_technique
"Furnishing fabric, red silk damask, acanthus pattern, Italian, late 17th century",weaving_technique
"Furnishing fabric, red silk damask with acanthus pattern. Height of repeat 37 inches.",weaving_technique
"Six items of miniature seating furniture, comprising a centre sofa (ottoman), a chaise longue, two armchairs and two footstools.",weaving_technique
"Six models of seating furniture, comprising a centre sofa (ottoman), a chaise longue, two armchairs and two footstools.",weaving_technique
"A woman's sack, 1760-65, English; Pink silk damask, Spitalfields, 1720s; altered 1870-1910",weaving_technique
"A woman's sack of deep pink silk damask in a large scale point repeat pattern of fantastic fruits and flowers. It is open to the waist at the front, with robings to the hem and elbow-length sleeves with deep, pleated cuffs.  The bodice and sleeves are lined with linen.  The back has two, double box pleats stitched at the neckline.   The sack is made of 6 widths of silk, with a waistseam extending from the front edges to the bodice side-back seam.  The skirts are pleated at the side seams on either side of the pocket openings. \n\nThe sack, with a matching petticoat,  was possibly made in the 1740s with the deep pleated cuffs and the robings to the hem; some of the piecing at the back may be part of the original construction.  In the early 1760s, it was altered, probably for another wearer.  A waist seam was added, the back re-pleated and the skirts reconfigured for a narrower hoop.  The scalloped, pinked ruching on the sleeve cuffs was possibly added at this time.\n\nIn the late 19th century, the sack was altered for fancy dress.  The front panel of a matching petticoat was added to the front of the sack, and the hem faced with white satin.  The robings below the waist were unpicked and the pinked and scalloped ruching (possbily removed from the petticoat) was added to each side of the front.",weaving_technique
A set of shoe and patten made of pink silk damask with silver braid decoration.,weaving_technique
