text,Label
Fan of painted silk leaf and gold painted and pierced wooden sticks. With the fan box.,motif
Folding fan with sticks of gold-painted lacquer. With figures in silk and ivory on paper. In lacquered case.,motif
"British Galleries:\nThis fan and its box are decorated with Chinese garden scenes and people. Although in China fans were used by both men and women, in Europe and America they were mostly owned by fashionable women. In southern China many thousands of fans were made for export.  [14/05/2013]",motif
"Fragment of purple silk, printed with a latticework design in silver containing a flower motif.",motif
"<i>Kesa</i>, Buddhist preinst’s mantle. Orange silk, with a design of commas in roundels (<i>tomoe</i>) against a linked diamond background woven in flat paper strips covered in gold leaf (<i>kinran</i>).\nPieced together from strips of material and worn draped over the left shoulder leaving the right shoulder exposed.\nIn each of the four corners are patches representing the Four Kings of Heaven, with two larger patches at the top showing the Two Attendants of Buddha. The <i>kesa</i> is unlined.",motif
"British Galleries:\nThis fan and its box are decorated with Chinese garden scenes and people. Although in China fans were used by both men and women,  in Europe and America they were mostly owned by fashionable women. In southern China many thousands of fans were made for export. [27/03/2003]",motif
"The embroidery is worked on an oblong piece of white satin, and shows a mixture of flat embroidery and raised appliqué techniques.  The central spray of white Bourbon roses has one full-blown flower worked in white crepe fabric; the stems are stitched in green and brown silk threads, the foliage is worked in lengths of wired chenille in shades of green and brown, and the bud petals in écru wired chenille.  An additional spray of flowers is shown in each corner: the upper pair have blossoms with five rounded petals of white crepe fabric, with the stems worked in green silks, the foliage in wired green chenille, and the centres worked in yellow silks; the lower pair are similar but the blossoms have pointed petals and are made of cream crepe fabric.  The panel is whipped to an oblong piece of glazed white linen (mounted on wood) using dark green chenille thread.  An oblong piece of écru canvas backed with a piece of white silk hangs from the lower edge of the panel at the back, and is embroidered in tent stitch using bright green silk with details of its maker and entry in the Great Exhibition.  The text is set within a border of stylized laurel leaves worked in tent stitch using red silks, with a cross in red at each corner and a split line of stylized bay leaves in green to fill out the last line of text.",motif
"British Galleries:\nThe Exhibition included work by children and for children. This sampler is an unusual piece at this time, as children were more encouraged to concentrate on plain sewing techniques for practical use and canvas embroidery for decoration. [27/03/2003]",motif
"Millinery wire covered with brown silk thread and decorated with humming bird feathers and beetle wing arranged in the form of a floral spray.  Individual feathers form leaves and 7 pieces of hummingbird skin, cut in the shape of the petal with the iridescent copper form a blossom, with 7 pieces of beetle-wing in the centre.",motif
"'The virginal is in typical Northern European rectangular form with an integral case with lid and drop-front attached. The case walls, due to the nature of the decoration, cannot be measured but are at least of 15mm thickness. The case is covered without in leather, tooled and gilt with a border of floral scrollwork and small animals. The lid contains eighteen panels, worked in high relief in coloured glass, containing scenes from Ovid's <i>Metamorphoses</i>, each identified below with a brief title. These scenes are framed with strips of white enamel bearing floral scrollwork. The inner face of the drop-front is divided into five panels, each of which was probably originally set with enamelled plates that have a blue ground and floral motifs (the colours of which have decomposed). Three of these enamelled plates remain; the second and fourth are missing and have been replaced by crudely cut-out engravings of birds and butterflies pasted to the red ground of the wooden backing. Another enamelled panel, similar but containing a head of a woman among the scrollwork, is set above the keyboard. Surrounding all these panels and covering the entire keyboard is a decoration consisting of coloured glass rods, rosettes and sequins, and of small spirals of brass wire. The soundboard is covered with glass rod decoration and contains a rose of <i>c.</i>112mm diameter.\n\nHoward Schott, <i>Catalogue of Musical Instruments in the Victoria and Albert Museum. Part I: Keyboard Instruments </i>(London, 1985), pp. 43, 45.\n\nThe eighteen panels are inscribed (upper row, from left): DAPHNÆ, ANDROMEDA, ACTEON, [missing], TRIONPHVS BACHI, NARCISVS, IO, IO IN VACAM, ARGVS (lower row, from left): TISBÆ, PIRAMVS, CORONIS, ATLANTIADES, DIANA, ARCADES, ERICHTONIVM, PARIS, BATTVS.",motif
