text,Label
"Shan silk <font -i>longyi</font> chiefly in white, purple and shades of green, yellow and red from Inle Lake, Shan States, Burma. Patterned with weft-ikat, supplementary weft and interlocking tapestry weave designs. c. 1885",tabby
"A rectangle formed with two identical panels hand stitched along the weft edge. One end with a knotted silk fringe.\n\nThe upper part has a thin check pattern in yellow, green and red on a warm terra-cotta ground. The lower part has many horizontal bands, broad and narrow, decorated with a great  variety of geometrically-treated motives including fret, hook, dot, cloud and floral motives, chiefly in white, purple and shades of green, yellow and betel juice red.",tabby
Burmese red cotton and multi coloured silk hta-mein. Konbaung Dynasty (1752-1885). ca. 1880. Partly patterned in acheik-luntaya designs.,tabby
"Composed of three parts. A plain red cotton cloth joined to a strip of acheik (horizontal wave patterned) silk textile with checkered end borders in lime, yellow, blue, purple, white and maroon on a deep pink ground to which is attached a separately woven silk train made of two pieces sewn together. Basic colour coral patterned with thin stripes of green, yellow, pink, black blue and white. The three component parts are handstitched together and lined with cotton textile.",tabby
"Middle East, Textile, Carpet; Front panel for chuval (nomadic storage bag), wool knotted pile with silk details on wool foundation, geometric design of three octagons (or guls), on red ground, Turkoman Salor, possibly Turkmenistan, Central Asia, 1800-1850",tabby
"Turcoman, Salor bag face\nDESIGN: field: red ground with central band of three large hooked and stepped guls.  Within each there is a red ground containing a multi-coloured star within a hooked cruciform.  Similar upper and lower bands are partially evident.  In two bands off-set to the guls are groups of nine small rectangles stepped diagonally in threes.  They are outlined in dark blue and contain white stars.\nMain border: dark purple ground with a two-coloured flowerhead set in a small, white horned motif and four florets between each pair.\nInner and outer border: red ground with touching S-motifs: dark blue (inner) blue (outer).\nLower band: immediately above plain weave is a band of reciprocal arrowheads in dark blue/red.  The red ones contain a white dot; the dark blue ones contain a red dot.\nUpper band: 24 ""tree of life"" motifs: every 4th one is blue; the others are dark green or dark blue.  They bear either red or white blossoms.",tabby
"Cabinet; oak, pine & walnut, with a marble slab top, France, marquetry panels ca. 1700, cabinet ca. 1765-1775, with later additions.",tabby
"Cabinet; oak, pine and walnut, veneered with ebony, ebonised wood, tortoiseshell, brass and various woods, and with gilt brass mounts and marble top. The cabinet has two large doors with four panels, both top panels have a lyre motif with floral scrolls, and a floral scroll decorative border. There are a large number of gilt brass mounts including acanthus leaf decoration along the top, four straps with lion masks and floral decoration. At the top of each of the upper panels is a mask of a cherub with a sun crown, while above the lower panels are two male satyr masks with raised crests. In the centre of each panel is a motif of a pair of cherubs and acanthus leaf. There is gilt decorative edging with flowers, and four roundels with flowers and berries at the base of the doors. A patera of flowers above each foot, with an apron with scallop shell, acanthus leaf and flower gilt mount. Gilt brass acanthus leaf sleeve decorate the feet.",tabby
"Middle East, Textile, Carpet; Carpet, wool knotted pile on silk foundation, 'Herati' trellis pattern, possibly Sehna, Iran, 1850-1875",tabby
Carpet Design: Field: dark blue ground with a small-scale Herati pattern with red diamonds outlined in green and with red and green leaves. There appears to be a colour change which may be an optical illusion resulting from a slight change in the size of the diamonds. Main border: red ground with an angular meander in green outlined in dark blue bearing blossoms in green and also in yellow. The side borders are slightly wider and there are slight design differences. Inner and outer borders: light blue ground with a small floral meander with red blossoms.,tabby
"Dress fabric, plain weave silk brocaded with silk and metal thread, India, 1800-1899.",tabby
"The bright yellow plain weave silk ground is woven in red silk; open, S-wound metal thread on a white silk core; and open, S-wound metal thread on a yellow silk core with large botehs. The design relying heavily on the silvery metal thread to fill the botehs with scrolling flowers highlighted with red. The base of the botehs is woven with metal thread roots outlined in red. The centres of the botehs contain a gold-hued bottle with a long and narrow neck., reminiscent of a rosewater sprinkler. The body of the bottle is woven in a chevron pattern in open, S-wound metal thread. The off-set rows of botehs are interspersed with small flowers in open, S-wound metal thread on white silk core. The yellow field has been further enhanced by impressed lines forming hexagons framing the botehs.",tabby
"Undergarment (<i>Dujin</i>) of plain weave silk with stencilled decoration (<i>bingata</i>) of flowers and lattice fences, Shuri, Okinawa, 1800-1870",tabby
Jacket-style ungergarment known as a</i><i>dujin</i>of plain weave yellow silk with stencilled decoration (<i>bingata</i>) of  flowers and tresslis fences.,tabby
Textile of brocaded silk. The design consists of flowers in dark and light blue on an off-white ground with a self-coloured design of strapwork ornament. The details in pale blue are brocaded and the dark blue is a pattern weft. The strapwork ornament is woven in satin shaded with floats of the white ground weft. The ground is woven in tabby.,tabby
"Textile of Jacquard-woven silk damask, made by Stone and Kemp, England, 1850-1851",tabby
Textile of Jacquard-woven silk damask. With a design of leaves and parakeets. The silk warp is white and the weft is yellow. The leaves are woven in white satin shaded with extended tabby and the weft is combined with two warp threads. The ground is tabby and some details of the design are made by unbound weft floats. There is a band of white across the top.,tabby
