"obj","museum","text","technique_group"
"http://data.silknow.org/object/3d7f888f-6b32-3229-bf92-2d62e08e68fd","http://data.silknow.org/graph/vam","Chair cover, rectangular, crimson silk velvet.","Damask"
"http://data.silknow.org/object/3d7f888f-6b32-3229-bf92-2d62e08e68fd","http://data.silknow.org/graph/vam","Chair cover of red cut-pile velvet, China, 1800-1882","Damask"
"http://data.silknow.org/object/1467da8c-4428-3ec2-be9f-0069a488d340","http://data.silknow.org/graph/vam","British Galleries:
Decorative cloths were hung at the head of beds and were often decorated with coats of arms. This one is embroidered with a coat of arms and initials celebrating the marriage of Henry Wentworth and Elizabeth Glemham in 1554. The expensive red and white silks were re-used from earlier hangings. [27/03/2003]","Damask"
"http://data.silknow.org/object/1467da8c-4428-3ec2-be9f-0069a488d340","http://data.silknow.org/graph/vam","Head cloth for a bed, cream and red silk damask","Damask"
"http://data.silknow.org/object/1467da8c-4428-3ec2-be9f-0069a488d340","http://data.silknow.org/graph/vam","embroidered, 1554-75, English; Arms of Wentworth/Glemham","Damask"
"http://data.silknow.org/object/1467da8c-4428-3ec2-be9f-0069a488d340","http://data.silknow.org/graph/vam","<b>Object Type</b><br>Together with other bed hangings, the head cloth, hung at the head of the bed, helped keep the sleeping occupants warm. It also contributed an element of luxury and colour, as well as providing an appropriate and highly visible place to show the owners' coats of arms or initials.<br><br><b>Makers & Making</b><br>The reuse of  luxury materials was quite common and in this case more than one original dress or furnishing fabrics have been included. Such economy suggests and that this headcloth was probably not intended for the best bed. Even the richest households would make use of 'secondhand' materials, particularly expensive ones. The cream silk damask with couched embroidery may have once formed part of a bed tester or canopy that was suspended over the top of the bed. The red brocaded silk damask evidently also had another use before it was incorporated into this headcloth.","Damask"
"http://data.silknow.org/object/caa92cf3-c17a-300e-87ea-e964daf75b9d","http://data.silknow.org/graph/vam","Dolls were widely produced in the 17th century, although very few survive.  It is most unlikely that these particular examples were the playthings of children.  Their production is of a high quality; almost all the accessories survive and there is little wear and tear on the dolls and their garments.  The dolls were most probably purchased for the amusement of adults, and as a decorative accessory to a home.","Damask"
"http://data.silknow.org/object/caa92cf3-c17a-300e-87ea-e964daf75b9d","http://data.silknow.org/graph/vam","British Galleries:
These dolls were probably made for the amusement of adults at home, as were dolls' houses at this time. They were named 'Lord and Lady' of the family home in Clapham, London by their owners, the Cockerell family. The outfits of the dolls are perfect miniatures of London fashions of 1690 and 1700. She wears a mantua (gown) of Chinese silk over stays (a stiff corset), with an under-wired cap and high-heeled shoes. [27/03/2003]","Damask"
"http://data.silknow.org/object/caa92cf3-c17a-300e-87ea-e964daf75b9d","http://data.silknow.org/graph/vam","Doll's petticoat of ivory Chinese export silk damask gathered at the waist with a gathered hip yoke. The hip to hem flounce is headed and trimmed top and bottom with silver-gilt bobbin lace.  It is faced at the waist with silk ribbon, now fastened with a pin and the hem is faced with ivory silk taffeta.","Damask"
"http://data.silknow.org/object/caa92cf3-c17a-300e-87ea-e964daf75b9d","http://data.silknow.org/graph/vam","Doll's petticoat of silk damask trimmed with bobbin lace, London, 1690-1700","Damask"
"http://data.silknow.org/object/caa92cf3-c17a-300e-87ea-e964daf75b9d","http://data.silknow.org/graph/vam","<b>Object Type</b><br>This petticoat was made for a doll, known as Lady Clapham, that is thought to have belonged to the Cockerell family, descendants of the diarist Samuel Pepys (1633-1703). The daughter of Pepys's nephew John Jackson (the son of his sister Pauline) married a Cockerell, who had a family home in Clapham, south London.<br><br><b>Designs & Designing</b><br>Lady Clapham offers a fine example of both formal and informal dress for a wealthy woman in the 1690s (Museum nos. T.846&A to Y-1974).  Her formal outfit includes a mantua (gown) and petticoat, while her informal dress is represented by the nightgown (a dressing gown rather than a garment worn to bed) and petticoat. Accessories such as the stockings, cap and chemise (a body garment) are very valuable since very few items from such an early period survive in museum collections.  Equally important is the demonstration of how these clothes were worn together.<br><br><b>Ownership & Use</b><br>Dolls were widely produced in the 17th century, although very few survive, due to the wear and tear they usually undergo. The high quality of Lady Clapham and her clothes indicates that she would have been expensive. There is little evidence of use, which suggests that she was admired by adults rather than played with by children.","Damask"
"http://data.silknow.org/object/b9f89b8f-e13d-382f-b071-936d6bf3ee56","http://data.silknow.org/graph/vam","Dolls were widely produced in the 17th century, although very few survive.  It is most unlikely that these particular examples were the playthings of children.  Their production is of a high quality; almost all the accessories survive and there is little wear and tear on the dolls and their garments.  The dolls were most probably purchased for the amusement of adults, and as a decorative accessory to a home.","Damask"
"http://data.silknow.org/object/b9f89b8f-e13d-382f-b071-936d6bf3ee56","http://data.silknow.org/graph/vam","British Galleries:
These dolls were probably made for the amusement of adults at home, as were dolls' houses at this time. They were named 'Lord and Lady' of the family home in Clapham, London by their owners, the Cockerell family. The outfits of the dolls are perfect miniatures of London fashions of 1690 and 1700. She wears a mantua (gown) of Chinese silk over stays (a stiff corset), with an under-wired cap and high-heeled shoes. [27/03/2003]","Damask"
