"obj","museum","text","technique_group"
"http://data.silknow.org/object/662207e0-74da-34ec-ab32-634fd56aeab0","http://data.silknow.org/graph/cer","Edad Moderna","Damask"
"http://data.silknow.org/object/662207e0-74da-34ec-ab32-634fd56aeab0","http://data.silknow.org/graph/cer","Paño de damasco verde con flecos dorados y espiguilla.  Presenta decoración con motivos florales.","Damask"
"http://data.silknow.org/object/f3447902-b8a4-3d14-9f31-3c1b9061c51a","http://data.silknow.org/graph/cer","Edad Moderna","Damask"
"http://data.silknow.org/object/f3447902-b8a4-3d14-9f31-3c1b9061c51a","http://data.silknow.org/graph/cer","Palio de damasco en verde con aplicaciones de encaje sobrepuesto formando cenefa de la que salen hojas. Dos grandes rosetones en los laterales y uno pequeño en el centro.","Damask"
"http://data.silknow.org/object/b6931e46-c8ce-31f9-9360-2b9b0a409f98","http://data.silknow.org/graph/cer","Silla de brazos con chambrana frontal tallada en bajorrelieve, brazos rectos muy anchos, remates en forma de bola de bronce dorado y tapizado al aire de respaldo y asiento de damasco de seda de color carmesí.  
Los montantes aserrados, de madera de pino, formando las patas frontales mas los apoyos del brazo, los traseras las patas, ligeramente inclinadas, y la estructura del respaldo, igualmente ligeramente inclinado (la pata trasera rota, arreglada con reintegración). Se ensamblan a varios travesaños a caja y espiga a media madera: sendos laterales inferiores con recorte inferior de forma lobulada, dos traseros inferiores, una chambrana frontal en forma de tabla recortada con un listón aplicado por encima, y a la altura del respaldo dos, en la parte superior, el superior de madera de pino y de menos grosor (añadido posterior que ha producido daños en el montante izquierdo a esta altura). El asiento sobre dos travesaños laterales de madera de pino. Los brazos formados por sendas tablas muy anchas, ensamblados a los montantes traseros y frontales a caja y espiga, al frontal con clavijas. El canto trasero del brazo en el vuelo lateral con recorte lobulado en forma de S. Debajo del brazo, sendas ménsulas de madera calada y tallada, claveteados al lado frontal y exterior de la parte superior del apoyo del brazo.  
Decoración de talla calada y en bajorrelieve en la chambrana frontal y las ménsulas del apoyo del brazo, y de talla en bajorrelieve en los montantes frontales, asimismo como en la parte superior de los montantes traseros. Los travesaños laterales inferiores con talla de gubia y en bajorrelieve.  
El tapizado al aire de asiento y respaldo realizado en tejido de damasco de seda de color carmesí, el asiento provisto de lengüetas, bordeados alrededor del asiento y en el canto inferior del respaldo de flecos del mismo color (todo moderno). Debajo del asiento aparecen cinchas aplicadas en bandas paralelas con tela de refuerzo de raso de algodón teñido de color pardo. El respaldo forrado de tejido de damasco de seda de color verde, bordado a mano con inscripción realizada en punto de pasada de hilo de seda de color amarillo (roturas del tejido revelan que ha sido encolado sobre papel o pergamino manuscrito antiguo, inscrito con tinta marrón). Clavos decorativos de latón a lo largo del tapizado del respaldo, al frente, y en el asiento, con alternancia de clavos de cabeza estrellada y de C contrapuestas y abrazadas.  
Los remates de bronce dorado en forma de bola con pequeño pináculo, sobre elemento prismático hueco del mismo material, con espiga alargada en su cara interior que se introduce en cajeado practicado en la testa del montante trastero, mientras que la base prismática del remate se encaja en la parte superior del montante, rebajado ligeramente.  
Los travesaños laterales con decoración tallada en forma de hojas con elementos enrollados. Los montantes presentan bandas de cartuchos ovalados alargados, con un florón inscrito. La chambrana en su lado superior con cinta de ovas, debajo de la cual hay un cartucho ovalado con tres estrellas inscritas - dos sobre una central - y grandes hojas de acanto enrolladas salientes a los lados de manera simétrica. Las ménsulas aplicadas debajo del brazo con hojas de acanto talladas.","Damask"
"http://data.silknow.org/object/b6931e46-c8ce-31f9-9360-2b9b0a409f98","http://data.silknow.org/graph/cer","Hay un ejemplar de una silla de brazos con características muy similares, como los brazos muy anchos y rectos soportados por ménsulas además de las patas traseras con ligera inclinación así como el respaldo, rematado también por elementos de bronce dorado; también presenta el mismo tipo de clavos decorativos. Se conserva en el Palacio de Viana de Córdoba [Márquez Hidalgo, Juana, 2000, Los Muebles del Palacio de Viana. Estudio Histórico Artístico de los Muebles de Asiento, Córdoba: 41; fig. 10, Nº inv. 29-252]. Estos elementos son también afines a varias sillas de finales del siglo XVII y principios del XVIII, que se conservan en iglesias andaluzas, como otro ejemplar en la Iglesia de Cabra, Córdoba, aunque con copete dorado, [Feduchi, Luis, 1969, El Mueble Español, Barcelona: 158; il. 136]. Otro ejemplar similar ilustrado en foto antigua del Castillo de Riudabell [Eberlein, H. D., Ramsdell, R. W., 1930, Muebles e Interiores Españoles de los Siglos XIV al XVIII, de la obra Tratado Práctico del Mueble Español, Barcelona, lám. 2]. Otro, de madera de nogal con remates de latón dorado, en la colección del Banco Hispano Americano [Renacimiento y Barroco. Colección Grupo Banco Hispano Americano (Cat. Exp.) 1987, Toledo, Museo de Santa Cruz, 9 de abril-31 de mayo 1987, Madrid: 117; Nº cat. 44; fechado alrededor de 1660 por Juan José Junquera]. Otro ejemplar similar en la Colección García Cabrejo, Madrid [Aguiló Alonso, María Paz, 1987, El mueble clásico español, Madrid: 203; il. 75]","Damask"
"http://data.silknow.org/object/b6931e46-c8ce-31f9-9360-2b9b0a409f98","http://data.silknow.org/graph/cer","Edad Moderna","Damask"
"http://data.silknow.org/object/2115e4b8-72ce-3906-b33c-2d56f8672d25","http://data.silknow.org/graph/cer","Silla de brazos con chambrana frontal tallada en bajorrelieve, brazos rectos muy anchos, remates en forma de bola de bronce dorado y tapizado al aire de respaldo y asiento de damasco de seda de color carmesí.  
Los montantes aserrados, de madera de pino, formando las patas frontales mas los apoyos del brazo, los traseras las patas, ligeramente inclinadas, y la estructura del respaldo, igualmente ligeramente inclinado. Se ensamblan a varios travesaños a caja y espiga a media madera: sendos laterales inferiores con recorte inferior de forma lobulada, dos traseros inferiores, una chambrana frontal en forma de tabla recortada con un listón aplicado por encima, y a la altura del respaldo dos, en la parte superior, el superior de madera de pino y de menos grosor (añadido posterior). El asiento sobre dos travesaños laterales de madera de pino. Los brazos formados por sendas tablas muy anchas, ensamblados a los montantes traseros y frontales a caja y espiga, al frontal con clavijas. El canto trasero del brazo en el vuelo lateral con recorte lobulado en forma de S. Debajo del brazo, sendas ménsulas de madera calada y tallada, claveteados al lado frontal y exterior de la parte superior del apoyo del brazo.  
Decoración de talla calada y en bajorrelieve en la chambrana frontal y las ménsulas del apoyo del brazo, y de talla en bajorrelieve en los montantes frontales, asimismo como en la parte superior de los montantes traseros. Los travesaños laterales inferiores con talla de gubia y en bajorrelieve.  
El tapizado al aire de asiento y respaldo realizado en tejido de damasco de seda de color carmesí, el asiento provisto de lengüetas, bordeados alrededor del asiento y en el canto inferior del respaldo de flecos del mismo color (todo moderno). Debajo del asiento aparecen cinchas aplicadas en bandas paralelas con tela de refuerzo de raso de algodón teñido de color pardo. El respaldo forrado de tejido de damasco de seda de color verde, bordado a mano con inscripción realizada en punto de pasada de hilo de seda de color amarillo. Clavos decorativos de latón a lo largo del tapizado del respaldo, al frente, y en el asiento, con alternancia de clavos de cabeza estrellada y de C contrapuestas y abrazadas.  
Los remates de bronce dorado en forma de bola con pequeño pináculo, sobre elemento prismático hueco del mismo material, con espiga alargada en su cara interior que se introduce en cajeado practicado en la testa del montante trastero, mientras que la base prismática del remate se encaja en la parte superior del montante, rebajado ligeramente.  
Los travesaños laterales con decoración tallada en forma de hojas con elementos enrollados. Los montantes presentan bandas de cartuchos ovalados alargados, con un florón inscrito. La chambrana en su lado superior con cinta de ovas, debajo de la cual hay un cartucho ovalado con una media luna con cara humana inscrita dentro del mismo y grandes hojas de acanto enrolladas salientes a los lados de manera simétrica. Las ménsulas aplicadas debajo del brazo con hojas de acanto talladas.","Damask"
"http://data.silknow.org/object/2115e4b8-72ce-3906-b33c-2d56f8672d25","http://data.silknow.org/graph/cer","Edad Moderna","Damask"
"http://data.silknow.org/object/2115e4b8-72ce-3906-b33c-2d56f8672d25","http://data.silknow.org/graph/cer","Hay un ejemplar de una silla de brazos con características muy similares, como los brazos muy anchos y rectos soportados por ménsulas además de las patas traseras con ligera inclinación así como el respaldo, rematado también por elementos de bronce dorado; también presenta el mismo tipo de clavos decorativos. Se conserva en el Palacio de Viana de Córdoba [Márquez Hidalgo, Juana, 2000, Los Muebles del Palacio de Viana. Estudio Histórico Artístico de los Muebles de Asiento, Córdoba: 41; fig. 10, Nº inv. 29-252]. Estos elementos son también afines a varias sillas de finales del siglo XVII y principios del XVIII, que se conservan en iglesias andaluzas, como otro ejemplar en la Iglesia de Cabra, Córdoba, aunque con copete dorado, [Feduchi, Luis, 1969, El Mueble Español, Barcelona: 158; il. 136]. Otro ejemplar similar ilustrado en foto antigua del Castillo de Riudabell [Eberlein, H. D., Ramsdell, R. W., 1930, Muebles e Interiores Españoles de los Siglos XIV al XVIII, de la obra Tratado Práctico del Mueble Español, Barcelona, lám. 2]. Otro, de madera de nogal con remates de latón dorado, en la colección del Banco Hispano Americano [Renacimiento y Barroco. Colección Grupo Banco Hispano Americano (Cat. Exp.) 1987, Toledo, Museo de Santa Cruz, 9 de abril-31 de mayo 1987, Madrid: 117; Nº cat. 44; fechado alrededor de 1660 por Juan José Junquera]. Otro ejemplar similar en la Colección García Cabrejo, Madrid [Aguiló Alonso, María Paz, 1987, El mueble clásico español, Madrid: 203; il. 75]","Damask"
